myscore	sp	random	zscore	investment	size	q	tangibility	cashflow	leverage	sic	at	fyear	gvkey	d_myscore	d_sp	d_random	d_zscore	d_investment	d_size	d_q	d_tangibility	d_cashflow	d_leverage	d_sic	d_at	d_fyear	d_gvkey
0.02678502	0	0.9611523	2.660431615	0.085944299	4.288937736	1.443649762	0.191126233	0.670075428	0.192992084	3564	72.889	1998	7281	0.02678502	0	0.9611523	2.660431615	0.085944299	4.288937736	1.443649762	0.191126233	-1.003523146	0.192992084	3564	72.889	1998	7281
0.02831292	0	0.4259063	1.450967112	0.18813532	6.379866572	1.280803392	0.132567827	0.578927553	0.008178364	3825	589.849	2005	1056	0.02831292	0	0.4259063	1.450967112	0.18813532	6.379866572	1.280803392	0.132567827	0.612623046	0.008178364	3825	589.849	2005	1056
0.02568145	0	0.5209578	2.95293772	0.410572049	2.729028607	1.194485246	0.096030813	0.871107893	0.009139574	3842	15.318	1993	1151	0.02568145	0	0.5209578	2.95293772	0.410572049	2.729028607	1.194485246	0.096030813	1.228142077	0.009139574	3842	15.318	1993	1151
0.03079978	0	0.0631045	1.001899534	0.361337476	6.547257322	0.736204862	0.552317486	0.202130368	0.169974288	3674	697.329	1990	7343	0.03079978	0	0.0631045	1.001899534	0.361337476	6.547257322	0.736204862	0.552317486	0.147710762	0.169974288	3674	697.329	1990	7343
0.03143894	0	0.5103367	0.95609358	0.446680521	8.355372371	1.512348083	0.533384686	0.182630737	0.358337284	3674	4252.968	1998	1161	0.03143894	0	0.5103367	0.95609358	0.446680521	8.355372371	1.512348083	0.533384686	0.18804938	0.358337284	3674	4252.968	1998	1161
0.02613547	0	0.9709548	2.540023236	0.060502637	2.845781097	1.152134766	0.260877142	0.278777537	0.246819634	3812	17.215	1996	1173	0.02613547	0	0.9709548	2.540023236	0.060502637	2.845781097	1.152134766	0.260877142	0.388377038	0.246819634	3812	17.215	1996	1173
0.02771477	0	0.6683477	4.501673974	0.044190965	3.753097611	1.385476989	0.309943029	0.554766581	0	3841	42.653	1993	1234	0.02771477	0	0.6683477	4.501673974	0.044190965	3.753097611	1.385476989	0.309943029	0.477973568	0	3841	42.653	1993	1234
0.03387804	0	0.7377173	2.437475952	0.303266366	10.26077731	1.103038725	0.569134982	0.308459751	0.138339921	2911	28589	2008	1380	0.03387804	0	0.7377173	2.437475952	0.303266366	10.26077731	1.103038725	0.569134982	0.198205396	0.138339921	2911	28589	2008	1380
0.0295231	0	0.3370778	1.399836375	0.194035182	8.766721581	1.408380996	0.183338268	-0.589427628	0.287481884	2085	6417.1	1999	1408	0.0295231	0	0.3370778	1.399836375	0.194035182	8.766721581	1.408380996	0.183338268	0.084147896	0.287481884	2085	6417.1	1999	1408
0.02824046	0	0.4395186	3.144735176	0.130711813	5.818393076	1.909250337	0.264523781	0.465826482	0.208102107	2670	336.431	1995	1411	0.02824046	0	0.4395186	3.144735176	0.130711813	5.818393076	1.909250337	0.264523781	0.429995281	0.208102107	2670	336.431	1995	1411
0.02960189	0	0.2246928	2.532211703	0.218788031	7.47406348	1.548536229	0.254760747	0.506455719	0.112324046	2771	1761.751	1994	1468	0.02960189	0	0.2246928	2.532211703	0.218788031	7.47406348	1.548536229	0.254760747	0.509144579	0.112324046	2771	1761.751	1994	1468
0.02932784	0	0.2996036	2.409195268	0.205137756	7.66627813	1.430675091	0.216749878	0.52617939	0.165241298	2771	2135.12	1996	1468	0.02932784	0	0.2996036	2.409195268	0.205137756	7.66627813	1.430675091	0.216749878	0.424339108	0.165241298	2771	2135.12	1996	1468
0.02902527	0	0.1795296	2.033895622	0.113298805	7.831213463	0.92675169	0.177687856	0.354965203	0.219142067	2771	2517.983	1999	1468	0.02902527	0	0.1795296	2.033895622	0.113298805	7.831213463	0.92675169	0.177687856	0.552397952	0.219142067	2771	2517.983	1999	1468
0.02723835	0	0.2426562	2.331817183	0.069342799	4.40545015	1.004912206	0.317304875	0.306425644	0.346817915	3420	81.896	2001	4186	0.02723835	0	0.2426562	2.331817183	0.069342799	4.40545015	1.004912206	0.317304875	0.966993094	0.346817915	3420	81.896	2001	4186
0.02950296	0	0.4968073	0.775961096	0.453002817	6.415173879	1.172644068	0.486270287	0.215264236	0.422707255	2621	611.047	2009	1491	0.02950296	0	0.4968073	0.775961096	0.453002817	6.415173879	1.172644068	0.486270287	0.178909179	0.422707255	2621	611.047	2009	1491
0.02520065	0	0.5206495	2.300326877	0.424657534	2.111424588	0.964769976	0.16283293	0.676369863	0.199757869	2540	8.26	1990	1496	0.02520065	0	0.5206495	2.300326877	0.424657534	2.111424588	0.964769976	0.16283293	1.012027491	0.199757869	2540	8.26	1990	1496
0.02957582	0	0.7739843	0.857515424	0.444895759	5.443014935	0.875913956	0.584339226	0.186323627	0.387997646	2810	231.138	1993	1533	0.02957582	0	0.7739843	0.857515424	0.444895759	5.443014935	0.875913956	0.584339226	-0.09634763	0.387997646	2810	231.138	1993	1533
0.02640827	0	0.4801441	0.972470109	0.125621891	4.286080002	1.304098045	0.049614067	-0.085406302	0	2810	72.681	2001	25033	0.02640827	0	0.4801441	0.972470109	0.125621891	4.286080002	1.304098045	0.049614067	2.01462377	0	2810	72.681	2001	25033
0.02861323	0	0.4132582	1.808088743	0.086634049	4.198314111	0.767717127	0.446720942	0.025491602	0.09979872	3670	66.574	2002	1577	0.02861323	0	0.4132582	1.808088743	0.086634049	4.198314111	0.767717127	0.446720942	0.164425017	0.09979872	3670	66.574	2002	1577
0.02809348	0	0.0336231	2.09231888	0.080999935	6.937319906	1.78769913	0.198376514	0.541581583	0.378694881	3823	1030.006	2002	1598	0.02809348	0	0.0336231	2.09231888	0.080999935	6.937319906	1.78769913	0.198376514	0.464004113	0.378694881	3823	1030.006	2002	1598
0.03119573	0	0.177514	2.231931967	0.248369377	8.473399912	2.824903623	0.394739894	0.217314332	0.146643824	3678	4785.759	1998	1608	0.03119573	0	0.177514	2.231931967	0.248369377	8.473399912	2.824903623	0.394739894	0.435271019	0.146643824	3678	4785.759	1998	1608
0.02865292	0	0.1427446	1.356265469	0.07910967	5.023301406	0.915936529	0.327452736	0.228769669	0.008886724	3460	151.912	1994	1613	0.02865292	0	0.1427446	1.356265469	0.07910967	5.023301406	0.915936529	0.327452736	0.296176423	0.008886724	3460	151.912	1994	1613
0.02840153	0	0.4554064	2.666417032	0.109430265	6.185747612	1.363292855	0.161829732	0.395803461	0	3825	485.776	2010	1633	0.02840153	0	0.4554064	2.666417032	0.109430265	6.185747612	1.363292855	0.161829732	0.219201864	0	3825	485.776	2010	1633
0.02706869	0	0.2752248	2.011029769	0.047494838	3.287393917	2.238770403	0.261569492	0.563308336	0.004370074	3663	26.773	2004	30540	0.02706869	0	0.2752248	2.011029769	0.047494838	3.287393917	2.238770403	0.261569492	0.467110859	0.004370074	3663	26.773	2004	30540
