myscore	sp	random	zscore	investment	size	q	tangibility	cashflow	leverage	sic	at	fyear	gvkey
0.02678502	0	0.9611523	2.660431615	0.085944299	4.288937736	1.443649762	0.191126233	0.670075428	0.192992084	3564	72.889	1998	7281
0.02620646	0	0.1941307	2.551364183	0.10209186	4.14611441	2.354219947	0.134993986	0.491473397	0.245173134	3564	63.188	2006	1050
0.02681556	0	0.9443852	2.968811606	0.058616553	4.30074879	1.375318284	0.162022914	0.589684126	0.117266626	3564	73.755	2002	7281
0.02647559	0	0.5829456	2.313287284	0.242244722	4.787633399	0.898661523	0.101693927	0.881732012	0.222251848	3564	120.017	2008	1050
0.02683076	0	0.7949691	2.991946622	0.084631398	4.228904592	1.281154395	0.196293814	0.681142775	0.173975117	3564	68.642	1999	7281
0.02653437	0	0.0414894	0.992886037	0.235996772	3.97309929	1.526218744	0.129955408	-1.642292171	0.063049164	3564	53.149	1992	22619
0.02686725	0	0.7770088	3.228180359	0.075849785	4.236292519	1.335970557	0.188124539	0.741947454	0.143642174	3564	69.151	2000	7281
0.02688462	0	0.9820623	3.127008961	0.041202245	4.220536587	1.433915087	0.183707948	0.633023292	0.122755987	3564	68.07	2001	7281
0.02683587	0	0.9732708	2.91216969	0.079748954	4.396126759	1.976615806	0.141922205	0.65748954	0.086053047	3564	81.136	2003	7281
0.02599681	0	0.2720792	1.654026522	0.029440468	3.501947285	1.411844485	0.16835443	0.34173715	0.243007836	3564	33.18	1998	22619
0.02569703	0	0.526668	1.716593505	0.140186916	3.746487767	0.934927547	0.093977155	0.141197272	0.2451855	3564	42.372	1993	14375
0.02587953	0	0.9945921	0.386763389	0.043859649	3.47800409	1.381102408	0.156968668	-0.649659864	0.252724186	3564	32.395	1999	22619
0.02681015	0	0.8878348	1.338031127	0.218547103	3.811849016	1.196058275	0.19920856	-0.134631876	0.082305346	3564	45.234	1994	22619
0.02686475	0	0.7114928	2.803266847	0.102040816	4.417924526	1.517190681	0.136112585	0.544854538	0.066808162	3564	82.924	2004	7281
0.02718	0	0.8624147	2.920267309	0.316808787	4.572047641	2.021311323	0.173998884	0.61403382	0.07621302	3564	96.742	2006	7281
0.02628934	0	0.8620051	2.674932258	0.033843537	4.373805433	1.473549688	0.071220619	1.651530612	0.120990611	3564	79.345	2011	1050
0.02831292	0	0.4259063	1.450967112	0.18813532	6.379866572	1.280803392	0.132567827	0.578927553	0.008178364	3825	589.849	2005	1056
0.02830511	0	0.7196428	1.701729878	0.196636614	6.458372766	1.60515139	0.122158797	0.748960931	0.006527988	3825	638.022	2006	1056
