myscore	sp	random	zscore	investment	size	q	tangibility	cashflow	leverage	sic	at	fyear	gvkey	d_myscore	d_sp	d_random	d_zscore	d_investment	d_size	d_q	d_tangibility	d_cashflow	d_leverage	d_sic	d_at	d_fyear	d_gvkey
0.02662153	0	0.735279	3.218656683	0.105148883	3.098694917	1.772565294	0.274437277	0.404776675	0.157878118	3564	22.169	1993	10741	0.02662153	0	0.735279	3.218656683	0.105148883	3.098694917	1.772565294	0.274437277	-1.003523146	0.157878118	3564	22.169	1993	10741
0.02825647	0	0.5450771	3.13057938	0.16074286	5.620719655	1.395853858	0.209900467	0.595225396	0.02636116	3825	276.088	1995	4817	0.02825647	0	0.5450771	3.13057938	0.16074286	5.620719655	1.395853858	0.209900467	0.612623046	0.02636116	3825	276.088	1995	4817
0.02562446	0	0.3736693	1.860122855	0.436512262	3.320529479	3.90795393	0.085781391	1.080108992	0.149990967	3842	27.675	1997	28885	0.02562446	0	0.3736693	1.860122855	0.436512262	3.320529479	3.90795393	0.085781391	1.228142077	0.149990967	3842	27.675	1997	28885
0.03135459	0	0.5842034	1.113235069	0.736927829	7.252649097	1.025306579	0.66274932	0.374953218	0.417570688	3674	1411.84	2006	144115	0.03135459	0	0.5842034	1.113235069	0.736927829	7.252649097	1.025306579	0.66274932	0.147710762	0.417570688	3674	1411.84	2006	144115
0.03184092	0	0.0593315	1.362129179	0.230149656	8.455032002	1.624677941	0.536748267	0.378832031	0.260602764	3674	4698.657	2007	213412	0.03184092	0	0.0593315	1.362129179	0.230149656	8.455032002	1.624677941	0.536748267	0.18804938	0.260602764	3674	4698.657	2007	213412
0.02605157	0	0.731538	2.436307611	0.095542911	2.943649194	2.118928101	0.208269687	0.290422001	0.179931525	3812	18.985	2003	1173	0.02605157	0	0.731538	2.436307611	0.095542911	2.943649194	2.118928101	0.208269687	0.388377038	0.179931525	3812	18.985	2003	1173
0.02771223	0	0.961823	0.902696287	0.555022881	6.687144767	1.717995484	0.127383174	1.36306627	0.286772673	3841	802.029	2010	264385	0.02771223	0	0.961823	0.902696287	0.555022881	6.687144767	1.717995484	0.127383174	0.477973568	0.286772673	3841	802.029	2010	264385
0.03384196	0	0.1952938	1.297868526	0.13785251	9.494711093	0.941122866	0.659864981	0.200561463	0.170522652	2911	13289.255	2001	28520	0.03384196	0	0.1952938	1.297868526	0.13785251	9.494711093	0.941122866	0.659864981	0.198205396	0.170522652	2911	13289.255	2001	28520
0.02947046	0	0.7748982	2.789980159	0.16745283	7.608870629	2.986368929	0.216765873	0.66745283	0.102678571	2085	2016	2001	2435	0.02947046	0	0.7748982	2.789980159	0.16745283	7.608870629	2.986368929	0.216765873	0.084147896	0.102678571	2085	2016	2001	2435
0.0281045	0	0.0830583	3.046810541	0.404449462	4.416476369	1.50367132	0.323667939	0.704388317	0.050577267	2670	82.804	1994	1397	0.0281045	0	0.0830583	3.046810541	0.404449462	4.416476369	1.50367132	0.323667939	0.429995281	0.050577267	2670	82.804	1994	1397
0.02960189	0	0.2246928	2.532211703	0.218788031	7.47406348	1.548536229	0.254760747	0.506455719	0.112324046	2771	1761.751	1994	1468	0.02960189	0	0.2246928	2.532211703	0.218788031	7.47406348	1.548536229	0.254760747	0.509144579	0.112324046	2771	1761.751	1994	1468
0.02927581	0	0.1681003	2.535866959	0.206481579	7.344977419	1.452618832	0.250291914	0.447943065	0.183006329	2771	1548.4	1992	1468	0.02927581	0	0.1681003	2.535866959	0.206481579	7.344977419	1.452618832	0.250291914	0.424339108	0.183006329	2771	1548.4	1992	1468
0.02902527	0	0.1795296	2.033895622	0.113298805	7.831213463	0.92675169	0.177687856	0.354965203	0.219142067	2771	2517.983	1999	1468	0.02902527	0	0.1795296	2.033895622	0.113298805	7.831213463	0.92675169	0.177687856	0.552397952	0.219142067	2771	2517.983	1999	1468
0.02741869	0	0.6280271	1.757402954	0.224738619	5.537653114	1.680645149	0.287085614	0.388269804	0.486506272	3420	254.081	1997	28389	0.02741869	0	0.6280271	1.757402954	0.224738619	5.537653114	1.680645149	0.287085614	0.966993094	0.486506272	3420	254.081	1997	28389
0.02963983	0	0.914108	0.889398906	0.025528981	6.546086458	0.951772616	0.498414244	-0.002076483	0.436271828	2621	696.513	2011	1491	0.02963983	0	0.914108	0.889398906	0.025528981	6.546086458	0.951772616	0.498414244	0.178909179	0.436271828	2621	696.513	2011	1491
0.02520065	0	0.5206495	2.300326877	0.424657534	2.111424588	0.964769976	0.16283293	0.676369863	0.199757869	2540	8.26	1990	1496	0.02520065	0	0.5206495	2.300326877	0.424657534	2.111424588	0.964769976	0.16283293	1.012027491	0.199757869	2540	8.26	1990	1496
0.02923274	0	0.8925779	0.847714176	0.103382675	7.864419905	1.564593162	0.261736458	0.033697517	0.348290434	2810	2603	2007	12578	0.02923274	0	0.8925779	0.847714176	0.103382675	7.864419905	1.564593162	0.261736458	-0.09634763	0.348290434	2810	2603	2007	12578
0.02681353	0	0.6765343	0.968054752	0.039419087	2.339302676	1.450910931	0.377771352	0.326187183	0.135434741	2810	10.374	1996	15027	0.02681353	0	0.6765343	0.968054752	0.039419087	2.339302676	1.450910931	0.377771352	2.01462377	0.135434741	2810	10.374	1996	15027
0.02853555	0	0.7540573	1.737563024	0.141515164	6.633350012	1.510188678	0.196068808	0.649633559	0.139949528	3670	760.024	2012	9216	0.02853555	0	0.7540573	1.737563024	0.141515164	6.633350012	1.510188678	0.196068808	0.164425017	0.139949528	3670	760.024	2012	9216
0.02792431	0	0.3336898	1.53949757	0.443899539	5.95254179	1.72229483	0.169848985	0.602679235	0.13013542	3823	384.73	2010	164702	0.02792431	0	0.3336898	1.53949757	0.443899539	5.95254179	1.72229483	0.169848985	0.464004113	0.13013542	3823	384.73	2010	164702
0.03119573	0	0.177514	2.231931967	0.248369377	8.473399912	2.824903623	0.394739894	0.217314332	0.146643824	3678	4785.759	1998	1608	0.03119573	0	0.177514	2.231931967	0.248369377	8.473399912	2.824903623	0.394739894	0.435271019	0.146643824	3678	4785.759	1998	1608
0.0286909	0	0.6467963	1.525805086	0.489815282	5.688130621	1.112205891	0.480359991	0.189976379	0.515827467	3460	295.341	1998	29395	0.0286909	0	0.6467963	1.525805086	0.489815282	5.688130621	1.112205891	0.480359991	0.296176423	0.515827467	3460	295.341	1998	29395
0.02843738	0	0.6047261	1.132929835	0.098701257	5.763512579	1.526060635	0.23315592	0.027020938	0.046501185	3825	318.465	2002	1056	0.02843738	0	0.6047261	1.132929835	0.098701257	5.763512579	1.526060635	0.23315592	0.219201864	0.046501185	3825	318.465	2002	1056
0.02703338	0	0.7210221	0.68734042	0.781853726	5.027741479	1.501395916	0.072332031	0.416168353	0	3663	152.588	2004	156716	0.02703338	0	0.7210221	0.68734042	0.781853726	5.027741479	1.501395916	0.072332031	0.467110859	0	3663	152.588	2004	156716
0.0267573	0	0.5895777	0.172271812	0.178575435	3.394508394	2.872541946	0.309832215	0.082333146	0.255100671	3829	29.8	1997	65066	0.0267573	0	0.5895777	0.172271812	0.178575435	3.394508394	2.872541946	0.309832215	0.878043852	0.255100671	3829	29.8	1997	65066
0.02714581	0	0.1979083	2.557322185	0.13636818	5.464678904	1.170735605	0.204525826	0.36334193	0.378344623	3949	236.2	1992	1677	0.02714581	0	0.1979083	2.557322185	0.13636818	5.464678904	1.170735605	0.204525826	0.213490513	0.378344623	3949	236.2	1992	1677
0.02694902	0	0.3799561	2.718643449	0.113925784	3.49189086	1.225006089	0.218430346	0.930576475	0	3533	32.848	2002	20279	0.02694902	0	0.3799561	2.718643449	0.113925784	3.49189086	1.225006089	0.218430346	1.19591072	0	3533	32.848	2002	20279
0.02755817	0	0.7084199	-0.593445295	0.02859859	3.34017268	0.81768176	0.44511763	-0.172542185	0.259424603	2911	28.224	1990	1712	0.02755817	0	0.7084199	-0.593445295	0.02859859	3.34017268	0.81768176	0.44511763	-0.119240836	0.259424603	2911	28.224	1990	1712
0.03125215	0	0.4323072	3.231141365	0.257263158	10.3604376	1.109461453	0.251701757	0.342035088	0.259743549	2070	31585	2009	1722	0.03125215	0	0.4323072	3.231141365	0.257263158	10.3604376	1.109461453	0.251701757	0.282217944	0.259743549	2070	31585	2009	1722
0.03145975	0	0.2248154	2.382614014	0.157861286	9.185728674	1.312953378	0.385602601	0.333689974	0.213767875	2070	9756.887	1995	1722	0.03145975	0	0.2248154	2.382614014	0.157861286	9.185728674	1.312953378	0.385602601	0.261005078	0.213767875	2070	9756.887	1995	1722
0.03125215	0	0.4323072	3.231141365	0.257263158	10.3604376	1.109461453	0.251701757	0.342035088	0.259743549	2070	31585	2009	1722	0.03125215	0	0.4323072	3.231141365	0.257263158	10.3604376	1.109461453	0.251701757	0.162584125	0.259743549	2070	31585	2009	1722
0.02481949	0	0.1490998	2.772973835	0.099236641	1.142310144	1.167916401	0.18602425	0.283969466	0.168155712	3523	3.134	1991	14506	0.02481949	0	0.1490998	2.772973835	0.099236641	1.142310144	1.167916401	0.18602425	1.992820513	0.168155712	3523	3.134	1991	14506
0.03008393	0	0.239939	2.21447648	0.123066104	8.793308627	1.178643399	0.144157815	0.206751055	0.012443096	2820	6590	2006	1794	0.03008393	0	0.239939	2.21447648	0.123066104	8.793308627	1.178643399	0.144157815	0.351578947	0.012443096	2820	6590	2006	1794
0.02896045	0	0.0330391	2.636278874	0.295404366	6.529916525	2.645877016	0.215389128	0.840939613	0.011818934	3640	685.341	1991	5764	0.02896045	0	0.0330391	2.636278874	0.295404366	6.529916525	2.645877016	0.215389128	0.361750368	0.011818934	3640	685.341	1991	5764
0.02718426	0	0.729732	1.635882705	0.128548838	5.496610693	0.807100302	0.175647082	0.275586912	0.302451366	3640	243.864	1995	15051	0.02718426	0	0.729732	1.635882705	0.128548838	5.496610693	0.807100302	0.175647082	0.617706366	0.302451366	3640	243.864	1995	15051
0.02691074	0	0.5543634	1.17848027	0.118368129	5.087367914	2.042342757	0.046022857	0.040988316	0	3823	161.963	2002	126423	0.02691074	0	0.5543634	1.17848027	0.118368129	5.087367914	2.042342757	0.046022857	0.358462676	0	3823	161.963	2002	126423
0.02701545	0	0.7496978	1.500521937	0.13205517	3.931119501	0.965571286	0.19914057	-0.113763083	0.035279805	3823	50.964	1996	1877	0.02701545	0	0.7496978	1.500521937	0.13205517	3.931119501	0.965571286	0.19914057	0.996629543	0.035279805	3823	50.964	1996	1877
0.02731902	0	0.4813111	-2.480592055	0.574685168	4.704372781	0.987727825	0.242164649	-2.249825093	0.20403155	2834	110.429	1997	24877	0.02731902	0	0.4813111	-2.480592055	0.574685168	4.704372781	0.987727825	0.242164649	-1.445970459	0.20403155	2834	110.429	1997	24877
