myscore	sp	random	zscore	investment	q	size	tangibility	cashflow	leverage	sic	at
0.02662153	0	0.735279	3.218656683	0.105148883	1.772565294	3.098694917	0.274437277	0.404776675	0.157878118	3564	22.169
0.02653793	0	0.1074051	3.268627781	0.096646943	1.528507296	3.168802838	0.243534211	0.439349112	0.134572522	3564	23.779
0.02653437	0	0.0414894	0.992886037	0.235996772	1.526218744	3.97309929	0.129955408	-1.642292171	0.063049164	3564	53.149
0.02652192	0	0.7174423	1.792004788	0.164916834	0.921528478	3.457703731	0.288022934	-0.313436357	0.311932964	3564	31.744
0.02825647	0	0.5450771	3.13057938	0.16074286	1.395853858	5.620719655	0.209900467	0.595225396	0.02636116	3825	276.088
0.02827614	0	0.2253897	2.960284033	0.189328337	1.936833923	5.808745911	0.190647687	0.438533237	0.020156002	3825	333.201
0.02821892	0	0.6515094	1.822132976	0.251311708	2.197136521	5.73738487	0.200279128	0.628509058	0.042974743	3825	310.252
0.02829422	0	0.4607151	2.109528265	0.465722963	0.758569733	3.78002187	0.427801995	0.269931663	0.067188534	3825	43.817
0.02562446	0	0.3736693	1.860122855	0.436512262	3.90795393	3.320529479	0.085781391	1.080108992	0.149990967	3842	27.675
0.02559934	0	0.4772217	2.153954502	0.158630014	2.065150479	2.982495047	0.237472767	0.180261379	0.431423215	3842	19.737
0.02564515	0	0.2963004	-3.697064177	0.962962963	3.145844343	2.835035213	0.081498444	-7.922453704	0	3842	17.031
0.02564874	0	0.3199936	-1.38450378	0.122025625	0.914977181	2.686554141	0.095429467	-1.489932886	0	3842	14.681
0.03135459	0	0.5842034	1.113235069	0.736927829	1.025306579	7.252649097	0.66274932	0.374953218	0.417570688	3674	1411.84
0.03135584	0	0.142371	0.396308957	0.170243925	1.546183591	8.01892012	0.569521001	0.14285683	0.386039017	3674	3037.895
0.03135657	0	0.8285239	0.637214253	0.215057096	1.210837543	9.440485356	0.353262379	0.263110147	0.230633966	3674	12587.825
0.03136235	0	0.4944382	0.880665395	0.211233254	1.32789601	7.750839847	0.51854533	0.263956403	0.200270451	3674	2323.523
0.03184092	0	0.0593315	1.362129179	0.230149656	1.624677941	8.455032002	0.536748267	0.378832031	0.260602764	3674	4698.657
0.03184251	0	0.4216664	2.278463157	0.604520936	1.243590133	7.802087477	0.5169113	0.576396123	0.055651097	3674	2445.702
0.03184607	0	0.2217243	0.217741537	0.127813438	0.811576344	9.285994263	0.41133909	0.0726212	0.167613119	3674	10785.892
0.03185167	0	0.1552642	1.225940391	0.36277349	1.303252749	9.046115518	0.511757334	0.328381357	0.343565833	3674	8485.512
0.02605157	0	0.731538	2.436307611	0.095542911	2.118928101	2.943649194	0.208269687	0.290422001	0.179931525	3812	18.985
0.02603535	0	0.1513959	1.721577095	0.271034551	1.138252452	4.116855936	0.18265815	-0.25470477	0.412687808	3812	61.366
0.02603521	0	0.5845563	1.634438284	0.079469057	0.978830273	3.950243218	0.188034188	0.36157559	0.384191884	3812	51.948
0.02603036	0	0.3717552	1.577610873	0.03917447	1.438621107	2.899992001	0.257785848	0.370915345	0.290910091	3812	18.174
0.02771223	0	0.961823	0.902696287	0.555022881	1.717995484	6.687144767	0.127383174	1.36306627	0.286772673	3841	802.029
0.02771374	0	0.8024541	2.658955594	0.104138368	2.166816863	5.801949177	0.097850392	0.777113707	0.004091327	3841	330.944
