myscore	sp	random	zscore	investment	size	q	tangibility	cashflow	leverage	sic	at	fyear	gvkey
0.02647035	1	0.000045	1.836971556	0.857748777	3.615259824	2.768574581	0.129382955	0.263621533	0	3841	37.161	1996	25086
0.03023609	1	0.0000763	2.646153085	0.225433783	5.448937536	1.196807893	0.630791662	0.253441751	0.276546056	3714	232.511	1995	9742
0.03271219	1	0.0001069	1.789112186	0.147132711	8.562109194	1.013629845	0.650228503	0.122724312	0.273400004	2621	5229.7	1997	7180
0.03004934	1	0.000108	0.978123081	0.124653596	4.918198316	1.074636579	0.566132382	0.036169189	0.054900699	3620	136.756	1999	25918
0.02549846	1	0.000111	-0.422256054	0.357318573	3.883767553	1.256825149	0.02954307	-1.173431734	0.200773551	2834	48.607	2000	28027
0.02630693	1	0.0001227	2.559611026	0.223623718	4.287812104	0.731502465	0.115771835	-0.421195332	0.196890409	3663	72.807	1991	4128
0.03048877	1	0.00022	1.916604466	0.357773127	9.377300206	2.999564782	0.183007409	0.582262619	0.108973563	3674	11817.068	1999	6512
0.02658112	1	0.0002252	1.152659196	0.084346865	3.806129014	1.636296403	0.127890431	0.267888169	0	2835	44.976	1997	12250
0.02577973	1	0.0002298	2.290773112	0.382452739	4.124566575	1.0370717	0.151485261	0.344401357	0.44150321	3670	61.841	2001	11169
0.02927404	1	0.0002375	2.242984308	0.19946527	7.603814216	1.381400586	0.219494953	0.424339108	0.174614325	2771	2005.832	1995	1468
0.02633827	1	0.0002573	3.535180792	0.027258473	3.809037445	0.99412508	0.165694903	0.42817513	0.186223868	3317	45.107	1999	4903
0.02532018	1	0.0002655	-0.148292337	0.482897384	2.740130095	1.283111886	0.03447608	0.665995976	0.001936858	2000	15.489	2007	118261
0.02692479	1	0.0002915	2.535151427	0.024140309	4.487748335	1.435960009	0.109996514	0.816336585	0	2711	88.921	2010	12568
0.02892307	1	0.0003397	2.262646731	0.041532197	6.141964285	1.862931225	0.26994662	0.447044855	0.056161096	3613	464.966	2006	25747
0.02983983	1	0.0004234	0.66703266	0.216424752	10.26109206	1.205837209	0.101090985	0.546056297	0.351842786	3812	28598	1997	8972
0.02812054	1	0.0004262	2.641942278	0.106959407	5.278517639	1.16897577	0.229708434	0.135665258	0.036209895	3613	196.079	2004	8699
0.02782418	1	0.0004482	2.527702965	0.144179583	5.901687531	2.582884093	0.1029197	0.964950299	0	3572	365.654	2010	134384
0.03177305	1	0.0004811	2.683957347	0.335610637	8.149161142	4.366552684	0.471406093	0.431599249	0.058121212	2834	3460.475	2001	8020
0.02728395	1	0.0005025	2.681638208	0.265370516	5.481834042	0.98101437	0.112631978	0.755742193	0.117401274	3523	240.287	2011	29951
0.02436231	1	0.0005306	-10.4930325	0.074860335	2.551864118	6.938751851	0.017613592	-4.212290503	0.274335594	2836	12.831	1999	5841
0.02766516	1	0.0005334	2.814482467	0.127965638	4.710988597	1.256400569	0.306840467	0.376747672	0.242034148	3564	111.162	2001	12762
