myscore	sp	random	zscore	investment	q	size	tangibility	cashflow	leverage	sic	at
0.01706922	0	0.870337	2.334008146	0.3793033	3.295847553	9.023842105	0.455799774	0.553410291	0.130829297	2834	8298.6
0.01710064	0	0.9903743	2.758806854	0.155862	3.634173839	8.976266047	0.455338726	0.470605905	0.032914193	2834	7913.03
0.01712636	0	0.3833295	2.597214384	0.307408466	3.679258553	8.947489959	0.456650776	0.60763549	0.149629144	2834	7688.569
0.01701029	0	0.4390615	1.999334702	0.238545935	2.466524594	9.06794697	0.469525413	0.306199603	0.13530809	2834	8672.8
0.01691759	0	0.3321209	0.631804821	0.017945361	0.661756078	8.790153427	0.638828388	0.061750441	0.460697128	2621	6569.24
0.01690033	0	0.8745837	0.692915012	0.252163878	1.014660842	8.747510946	0.651945989	0.111367571	0.276250993	2621	6295
0.01696277	0	0.1254519	1.964373815	0.17338667	1.83174779	8.761033088	0.633598195	0.213733178	0.253561522	2621	6380.7
0.01703153	0	0.3480781	2.23278175	0.158580161	1.86922229	8.639481618	0.638928218	0.228508992	0.209064845	2621	5650.4
0.02091693	0	0.8417935	1.531693639	0.11741698	1.158335725	3.813152495	0.2278277	0.100467827	0.555118893	3420	45.293
0.02102788	0	0.5415702	2.366397372	0.258973194	0.917602575	3.631064943	0.23749106	0.603589278	0.318623686	3420	37.753
0.02101104	0	0.8971257	2.090631412	0.160949219	0.807906641	3.758592067	0.19930983	0.175826878	0.428721321	3420	42.888
0.02122659	0	0.628081	1.800579429	0.221672662	1.464849114	3.396419318	0.226580032	0.177158273	0.521787186	3420	29.857
0.02112757	0	0.3795589	2.982104958	0.424638989	1.036353265	4.011361425	0.045380464	1.709837545	0.318134077	3420	55.222
0.02126515	0	0.1007262	3.298965305	0.299717628	1.014973362	3.8160406	0.049951568	2.208551835	0.258761888	3420	45.424
0.02130395	0	0.6557188	3.140208939	0.249889819	1.106605909	3.744999829	0.049351202	1.657117673	0.216360585	3420	42.309
0.02130015	0	0.5952254	3.313147174	0.26496063	1.653323038	3.742941412	0.058713467	1.926771654	0.241343376	3420	42.222
0.0212272	0	0.9577938	-4.635954361	0.008732846	3.066917314	2.677522263	0.324970788	0.369274639	0.161041996	3812	14.549
0.02132698	0	0.7999238	-9.174606365	0.676131322	2.813450586	2.479894108	0.324623116	-1.57645667	1.089112228	3812	11.94
0.02135697	0	0.7122592	2.292568884	0.283642372	0.820090008	2.888425421	0.342165322	0.10996879	0.218814361	3812	17.965
0.02136036	0	0.9221656	2.823680831	0.075652461	1.027239645	2.92777458	0.3418067	0.410802775	0.266777266	3812	18.686
0.0225426	0	0.9795294	-7.278644068	-0.014545455	0.768983051	1.344169435	0.074837027	-5.043636364	0	2844	3.835
0.0225778	0	0.7506975	-14.30617672	0.052173913	3.51964541	1.251905458	0.053188447	-24.7826087	1.414355162	2844	3.497
0.02311134	0	0.4479508	-0.570693995	0.027777778	7.796929162	1.022810575	0.082704063	-0.826388889	0.124415678	2844	2.781
0.02315016	0	0.3394341	-1.24805915	0.822222222	6.030728281	0.995101912	0.046210721	-13.9	0	2844	2.705
0.01670222	0	0.9032785	1.658701307	0.141537751	1.592718206	10.38263673	0.14423732	0.525975525	0.158109866	3822	32294
0.01667351	0	0.4746731	1.907171034	0.1667001	1.457353012	10.47700625	0.139025078	0.741624875	0.235981967	3822	35490
0.01672117	0	0.0548887	1.90561391	0.138686131	1.84505291	10.33983744	0.155037006	0.616573637	0.163634013	3822	30941
0.01673383	0	0.7693751	1.652894212	0.137601863	1.593972067	10.34374049	0.139430816	0.44959255	0.16975726	3822	31062
0.02048535	0	0.9066069	2.390961357	0.615955337	1.353135402	4.028578621	0.35640163	0.410196136	0.02844378	3672	56.181
0.02020777	0	0.9296196	2.882498764	0.743624988	1.468865504	4.442109934	0.369270429	0.7942459	0.117487111	3672	84.954
0.02010524	0	0.062456	3.043866619	0.188799472	0.648740688	4.591730274	0.368124462	0.109872814	0.072548523	3672	98.665
0.02033651	0	0.4720692	3.829656212	0.489284623	1.274700352	4.24369804	0.389837077	0.718606783	0.029900237	3672	69.665
0.01879271	0	0.1965138	1.585616149	0.111672184	1.410526828	6.657562935	0.300788158	0.59842191	0.25130771	2834	778.651
0.01882685	0	0.50356	2.893528206	0.129327446	2.025951384	6.632125617	0.299885126	0.498308788	0.012551805	2834	759.094
0.01879843	0	0.8103657	3.708949192	0.260985862	1.369684411	6.763884909	0.298614319	0.08330149	0.169630485	2834	866
0.01885934	0	0.2729053	1.154574795	0.234992667	5.444363463	6.548764799	0.300792834	0.459044858	0.332907109	2834	698.381
0.0187905	0	0.2116845	1.181779614	0.093915606	0.830707003	6.109714141	0.528544457	0.062812639	0.441360698	3714	450.21
0.01898077	0	0.3329439	2.798590372	0.371280629	2.614925786	5.879647119	0.519602553	0.498603791	0.174109477	3714	357.683
0.01867696	0	0.1458287	1.051630023	0.148606811	1.659890542	6.268338421	0.509666414	0.166795666	0.204131918	3714	527.6
0.01901263	0	0.8045221	3.280981947	0.139373591	2.546762077	5.834137996	0.519466308	0.42512631	0.05688621	3714	341.77
0.01930169	0	0.6512408	1.752100885	0.537786458	2.02152043	5.705580857	0.373544287	0.408770973	0.19652958	2670	300.54
0.01920927	0	0.1517965	1.53403887	0.04337789	0.956755281	5.872920284	0.349212604	0.144290129	0.116067383	2670	355.285
0.01925228	0	0.4334119	4.43128866	0.259564809	7.336303957	5.966828558	0.347652627	0.848995889	0.025415998	2670	390.266
0.01933646	0	0.4684534	2.070153801	0.190507695	1.044003065	5.783720561	0.34429448	0.176902057	0.359948425	2670	324.966
0.01915588	0	0.1453523	1.707456051	0.152697905	0.89877251	5.898257654	0.395708586	0.154429024	0.339833481	2670	364.402
0.01920485	0	0.058794	2.024082427	0.217912257	0.893408853	5.840816061	0.396233215	0.197810455	0.331642737	2670	344.06
0.01923197	0	0.5165443	1.812659271	0.142807453	3.103106304	5.802471787	0.411244364	0.431776398	0.56113398	2670	331.117
0.01929301	0	0.8910214	2.148750692	0.198267849	1.058524589	5.70273526	0.401940698	0.195148547	0.333378937	2670	299.686
0.01923197	0	0.5165443	1.812659271	0.142807453	3.103106304	5.802471787	0.411244364	0.431776398	0.56113398	2670	331.117
0.01915588	0	0.1453523	1.707456051	0.152697905	0.89877251	5.898257654	0.395708586	0.154429024	0.339833481	2670	364.402
0.01920485	0	0.058794	2.024082427	0.217912257	0.893408853	5.840816061	0.396233215	0.197810455	0.331642737	2670	344.06
0.01921023	0	0.2178659	1.48866235	0.050383715	0.947304913	5.766431712	0.420434195	0.071850087	0.447845308	2670	319.396
0.02339842	0	0.5129232	3.722579349	0.910569106	0.679288871	0.911881023	0.074327039	2.804878049	0.011651266	3690	2.489
0.02328657	0	0.5593647	3.614370468	0.091891892	0.577455504	1.109881881	0.048780488	2.027027027	0.005603164	3690	3.034
0.02345947	0	0.0708298	2.654657837	0.454545455	0.517549669	0.817574759	0.054304636	1.145454545	0	3690	2.265
0.0185842	0	0.9499574	-110.05755	0.219081272	14.74331221	0.85484077	0.063802637	-12.93286219	0.387494683	3690	2.351
0.02356245	0	0.5716697	2.752829244	1.333333333	0.498059589	0.691646054	0.055082624	2.789473684	0	3690	1.997
0.02345947	0	0.0708298	2.654657837	0.454545455	0.517549669	0.817574759	0.054304636	1.145454545	0	3690	2.265
0.02359167	0	0.4849251	0.119953731	1.666666667	2.735974552	0.547543207	0.070561018	5.070175439	0.395026027	3690	1.729
0.02086042	0	0.9597918	-62.25469965	0.015037594	5.72744523	0.347129531	0.065724382	-40.78195489	0.13639576	3690	1.415
0.02226634	0	0.8206353	2.300326877	0.424657534	0.964769976	2.111424588	0.16283293	0.676369863	0.199757869	2540	8.26
0.02192386	0	0.0351696	4.916944463	1.714413608	1.177951446	2.719912894	0.158771988	2.913160251	0.134000922	2540	15.179
0.02223243	0	0.7943351	2.369589657	-0.625885687	0.806228218	2.185489321	0.138954469	-0.020075579	0.048229342	2540	8.895
0.0222581	0	0.1322371	3.958153693	0.109965636	1.538622754	2.304583096	0.133932136	1.012027491	0.242115769	2540	10.02
0.02167129	0	0.5712737	3.539536973	0.0226234	0.826364893	2.672077541	0.281755356	0.236517368	0.150518314	2540	14.47
0.02185288	0	0.1283976	2.308641467	1.593042071	0.751292615	2.27305329	0.309403646	0.326860841	0.102997219	2540	9.709
0.02179805	0	0.1145378	1.814463515	0.11632481	0.99293787	2.298878231	0.324601024	0.036246137	0.190705611	2540	9.963
0.02210611	0	0.2213197	2.251553621	0.86394052	1.033853222	2.112755421	0.256921775	0.480297398	0.320396566	2540	8.271
0.0196228	0	0.0402884	-2.274131779	0.02445657	2.14077852	5.068382053	0.323055432	-0.209690805	0	3621	158.917
0.01980423	0	0.6767515	3.467815629	0.264724743	2.610620823	5.171057694	0.323944782	0.665844037	0.102639962	3621	176.101
0.01981749	0	0.5223984	2.144834431	0.174653826	1.098747526	5.131465534	0.317017694	0.29952324	0.287371873	3621	169.265
0.01970658	0	0.0707638	3.1934704	0.24623556	2.32380223	5.284111946	0.327641382	0.579609795	0.085962501	3621	197.179
0.01997606	0	0.4134812	2.486019168	0.306299086	2.426006495	5.401437875	0.103975646	1.444408826	0.052506483	3844	221.725
0.01969823	0	0.3587877	-1.704982775	0.089678206	1.097794643	5.599351157	0.080769359	-1.205307578	0.002194257	3844	270.251
0.01998369	0	0.6450425	1.957527339	0.396586783	2.143183597	5.435628482	0.071544694	1.428467683	0.034867959	3844	229.437
0.01989978	0	0.6006643	2.575612683	0.105851088	2.153942606	5.592057303	0.07263863	1.470519346	0.035558935	3844	268.287
