mypscore	random	sp	investment	zscore	q	tangibility	size	cashflow	leverage
0.01705423	0.0057233	1	0.264736651	2.564644913	3.592999609	0.459992604	9.050608614	0.577383138	0.124311158
0.0168694	0.0064866	1	0.060916179	0.585632773	0.870680322	0.644769568	8.829811749	0.065789474	0.359765911
0.0209998	0.0087578	1	0.152910997	2.428602737	1.053018312	0.223493888	3.715180529	0.291434307	0.346417961
0.02119511	0.014819	1	0.448754789	2.883759908	1.077950828	0.04469454	3.903607696	1.64894636	0.272725439
0.02158985	0.0174562	1	0.093169045	2.012649759	0.815452933	0.346273534	2.553655047	0.225680934	0.260541466
0.02261065	0.0007097	1	0.170320405	-7.333169667	6.162234043	0.070103655	1.299101149	-5.78920742	0.153573377
0.01669105	0.0163171	1	0.139462164	1.977864221	2.065207211	0.147463393	10.428364	0.683969147	0.226504955
0.02039671	0.004714	1	0.33212098	3.232790928	2.35895041	0.357695339	4.227154862	0.591644334	0.137926505
0.01878579	0.0027528	1	0.167894872	1.461927288	2.356625472	0.304433353	6.692396349	0.323980018	0.429629942
0.01876939	0.0047964	1	0.131003231	0.973055441	0.871010813	0.528226035	6.128374601	-0.014233636	0.433822407
0.01927453	0.0094517	1	0.142417148	2.121904303	0.990681141	0.368320344	5.817227225	0.206415621	0.352357911
0.01913065	0.0089298	1	0.164115758	1.693575828	0.900795249	0.404167248	5.920945512	0.137326019	0.36968967
0.01913395	0.0064305	1	0.091272344	1.386833393	0.928465471	0.408340012	5.891285031	0.053425285	0.388390859
0.02263953	0.0191303	1	0.964912281	-12.71859576	1.167579075	0.068474105	1.056748085	-6.906432749	0.662495655
0.02269616	0.0138622	1	0.081218274	-20.61275204	1.651839237	0.041416894	0.607044482	-2.842639594	0.807629428
0.02217667	0.0182829	1	1.310382514	3.981347714	1.421160697	0.172768652	2.313129307	2.398907104	0.227587572
0.02153473	0.0187134	1	0.095528899	1.505569905	1.045057289	0.289820518	2.714628516	-1.642311887	0.153387642
0.0198276	0.0194208	1	0.310519738	1.946904777	1.629677605	0.323642958	5.091723609	0.577997501	0.302852401
0.01994068	0.0056348	1	0.141840895	2.261973643	2.367578439	0.094258154	5.461855277	0.936974061	0.045318298
0.02075934	0.0015443	1	0.191643621	2.568972715	1.209867748	0.428096074	3.498263594	0.289633007	0.13561014
0.02040722	0.0084431	1	0.634681343	0.893587662	0.957893669	0.656351461	3.386692695	0.019621919	0.416193182
0.01661493	0.0187228	1	0.118724519	2.899752885	3.631832806	0.578569727	9.594888232	0.353076914	0.495959699
0.01977997	0.0108711	1	0.274947907	2.387649115	0.893647048	0.246509878	5.396128961	0.252336449	0.368876133
0.01966991	0.0104281	1	0.313945911	4.091833055	2.681450009	0.163684526	5.890685189	1.19591072	0.469604842
0.01686019	0.0171998	1	0.085859981	2.275181866	1.039954413	0.318265408	9.75166876	0.223866268	0.301617558
0.02220069	0.014549	1	0.230769231	1.19332564	1.078091941	0.106943643	2.34161348	-0.533156499	0.506539719
0.02067297	0.0049206	1	0.054572827	2.400315954	0.759251217	0.175279024	4.291992512	-0.005344373	0.351789036
0.0209016	0.0026248	1	0.33996004	2.886818434	0.946160542	0.307789707	3.635188551	0.131768232	0.201904561
0.02060941	0.0007205	1	0.522883099	1.412950794	1.129469136	0.436410203	3.654650263	-0.634898869	0.294148083
0.0212314	0.0034229	1	0.155276753	2.150700148	0.58704726	0.480745927	2.698269189	0.157638376	0.189443921
0.01923353	0.0108368	1	0.042409576	2.778522661	0.852468331	0.417181485	5.739635343	0.243849356	0.10740599
0.02202202	0.0129749	1	0.087880251	2.29404491	0.819096844	0.20595509	2.313426116	0.135683245	0.139578593
0.01994085	0.0131446	1	0.042484309	1.104143966	1.522802503	0.079462285	5.568050567	0.195167332	0.653314142
0.01957713	0.0132823	1	0.124080966	2.390443549	2.716930932	0.24266921	5.671441773	0.606426432	0.229744571
0.0203165	0.0099264	1	0.129737193	3.369277732	3.914965625	0.19417974	4.727555946	1.117739478	0
0.01861546	0.0094236	1	0.185954198	2.765410975	1.474231199	0.433115809	6.66085168	0.329531567	0.216497102
0.01942311	0.0180622	1	0.106839072	2.324025028	0.752121528	0.311269252	5.672910811	0.194066831	0.010313531
0.01975109	0.0043096	1	0.220958494	2.963879061	1.710776579	0.164950949	5.592843465	0.807734963	0
0.01814475	0.014911	1	0.282554487	2.685641	2.196216418	0.50289417	7.2171257	0.319525066	0.235635385
0.01784267	0.0166712	1	0.09458403	2.629262974	1.31985188	0.402323058	7.945312395	0.263426184	0.243271656
0.01918286	0.0155596	1	0.667922976	3.154293074	2.48920969	0.417341828	5.817753811	0.532829131	0.020019868
0.01999476	0.0196743	1	0.234097113	2.423501554	0.910812342	0.134610729	5.330368207	0.395897097	0.211675722
0.01813679	0.0149509	1	0.418001665	2.058613552	1.252022781	0.121317418	8.142282409	0.841777277	0.213621404
0.02172671	0.0021741	1	0.379853096	3.414451169	2.512820847	0.124217446	2.953242222	1.26547744	0.015285893
0.01902272	0.0117839	1	0.065583285	0.132689303	1.773184046	0.252024435	6.556636301	0.197330238	1.183406734
0.0216567	0.0095775	1	0.136160714	1.04786037	1.131611589	0.038141224	3.116798802	1.263392857	0
0.02292061	0.0177062	1	0.013129103	0.046046246	2.093277191	0.107051099	1.253619744	-3.129102845	0.166143306
0.0185525	0.0129325	1	0.223354705	3.2707148	1.822175463	0.446466324	6.731213785	0.39453884	0.113249913
0.02017214	0.0164878	1	0.110126355	0.677925718	2.507089332	0.233444289	4.832911153	0.136056051	0.696717526
0.02259415	0.019861	1	2.20754717	-1.913918056	2.263558575	0.097796994	1.580420963	-10.88679245	0.160798847
0.0172819	0.0102952	1	0.039197272	0.66536643	0.673087911	0.779652727	7.805230097	0.071573328	0.32029021
0.02015991	0.0191693	1	0.066480242	1.765067425	1.021292394	0.235521322	4.892857258	0.134258797	0.617674412
0.01824566	0.012821	1	0.153191489	1.910419287	1.287209119	0.280398323	7.553810852	0.275886525	0.167976939
