myscore	sp	random	zscore	investment	q	size	tangibility	cashflow	leverage	sic	at
0.01705108	0	0.7398604	1.415106433	0.26064633	3.226597175	9.444384298	0.291762285	0.351857445	0.284561209	2834	12637
0.01706519	0	0.3195727	2.944529325	0.225758477	4.699248398	9.407057809	0.313290619	0.662105889	0.055610317	2834	12174
0.0170652	0	0.0928091	1.753709836	0.178591163	2.20171072	9.321255433	0.322384319	0.305019561	0.094692562	2834	11173
0.01704285	0	0.5649422	2.384513302	0.109855235	6.251444578	9.459167264	0.310443502	0.729048165	0.238078159	2834	12825.2
0.01706922	0	0.870337	2.334008146	0.3793033	3.295847553	9.023842105	0.455799774	0.553410291	0.130829297	2834	8298.6
0.01703793	0	0.2573218	2.510876588	0.139934534	3.696883041	9.541728277	0.269940412	0.616475723	0.086869122	2834	13929
0.01707204	0	0.1659873	2.910245005	0.123311562	4.585162438	9.143194294	0.410739391	0.576106357	0.027676019	2834	9350.586
0.01707412	0	0.7556686	1.156401863	0.669322618	8.409217504	9.404827543	0.275737661	0.78310599	0.171486355	2834	12146.879
0.0170209	0	0.4041946	1.01017537	0.286575061	1.582806898	9.926764529	0.107127156	0.709824381	0.260221777	2834	20471
0.01709095	0	0.5558081	0.891011505	0.215714286	2.399072148	9.434763105	0.264541387	0.173214286	0.371204858	2834	12516
0.01709473	0	0.7901087	1.789895129	0.299183119	2.118350556	9.346670432	0.296077405	0.677523016	0.121698417	2834	11460.601
0.01709546	0	0.2019448	3.778904845	0.160637361	7.997931813	9.35957694	0.327993443	1.161826896	0.007613953	2834	11609.476
0.01709547	0	0.4984265	3.101622383	0.145476578	3.85142335	9.263498696	0.351211165	0.722793784	0.020697108	2834	10545.966
0.01701102	0	0.8772233	2.540535889	0.241534616	4.007338464	9.149802371	0.451474304	0.575161763	0.157774064	2834	9412.58
0.01709754	0	0.6437363	2.246645142	0.226571652	3.708328109	9.451661702	0.272803689	0.62498373	0.225346248	2834	12729.3
0.01701029	0	0.4390615	1.999334702	0.238545935	2.466524594	9.06794697	0.469525413	0.306199603	0.13530809	2834	8672.8
0.01685408	0	0.8375596	1.485862532	-0.005495998	1.207931288	9.209900475	0.523047836	0.163719682	0.338923158	2621	9995.602
0.01685273	0	0.8736613	0.748230668	0.02387169	0.662342744	8.716699573	0.704619921	-0.020514733	0.355668414	2621	6104
0.01684977	0	0.5238777	0.985443038	0.035903084	1.133738572	8.646113971	0.741033755	0.071806167	0.361462729	2621	5688
0.01684782	0	0.8779215	1.346317284	0.139170173	1.246649945	8.478671674	0.823777113	0.109105877	0.425544709	2621	4811.055
0.01689315	0	0.1608972	0.686743621	0.071342759	1.01444369	8.65886635	0.702325985	0.120691249	0.389290054	2621	5761
0.01690033	0	0.8745837	0.692915012	0.252163878	1.014660842	8.747510946	0.651945989	0.111367571	0.276250993	2621	6295
0.01690103	0	0.6952516	1.500024975	0.188048448	1.318491177	8.459708348	0.799745206	0.192335981	0.427784466	2621	4720.681
0.01690561	0	0.4202704	1.791665528	-0.134834545	0.994312265	9.096589309	0.530627069	0.239723858	0.222476109	2621	8924.801
0.01691229	0	0.5526079	-0.49842666	-0.005897658	1.056863726	8.996156562	0.558349851	-0.217172593	0.739593657	2621	8072
0.01691759	0	0.3321209	0.631804821	0.017945361	0.661756078	8.790153427	0.638828388	0.061750441	0.460697128	2621	6569.24
0.01692523	0	0.7305951	0.43427723	0.052445565	1.020431793	8.628788232	0.690052412	0.048960728	0.424073842	2621	5590.3
0.01680833	0	0.8334454	0.446399707	0.013145676	0.637465445	8.889762862	0.666227293	0.029365671	0.446294475	2621	7257.298
0.01696182	0	0.5317397	0.446399444	0.016072169	1.094435074	8.633339333	0.66622743	0.035903152	0.446294384	2621	5615.8
0.01696277	0	0.1254519	1.964373815	0.17338667	1.83174779	8.761033088	0.633598195	0.213733178	0.253561522	2621	6380.7
0.01696327	0	0.5839416	0.611382897	0.034875445	0.938196961	8.554874258	0.699922958	-0.003084223	0.439137134	2621	5192
0.01696432	0	0.0950174	0.474335885	0.083357707	1.146474561	8.398860004	0.751913553	-0.00643463	0.370328681	2621	4442
0.02099953	0	0.1001528	2.855574394	0.271747805	1.053576694	4.216975089	0.034690688	1.851157223	0.35855399	3420	67.828
0.02101104	0	0.8971257	2.090631412	0.160949219	0.807906641	3.758592067	0.19930983	0.175826878	0.428721321	3420	42.888
0.02098539	0	0.307236	1.782939332	0.012421007	0.98589148	3.77727945	0.199144106	0.087927653	0.434263222	3420	43.697
0.02097633	0	0.35514	2.770582257	0.484029484	0.857096661	3.991148369	0.150618105	0.506865154	0.521813848	3420	54.117
0.02102788	0	0.5415702	2.366397372	0.258973194	0.917602575	3.631064943	0.23749106	0.603589278	0.318623686	3420	37.753
0.02103077	0	0.4972361	2.033941806	0.118018846	0.885363296	3.736788278	0.193813598	0.078487704	0.407811644	3420	41.963
0.02094508	0	0.1919117	2.710704164	0.321432953	0.856836315	4.014561543	0.157078648	0.359833149	0.520839726	3420	55.399
0.02105505	0	0.5617855	2.82302521	0.202935366	1.006839643	4.055517105	0.075023824	1.224386113	0.439157931	3420	57.715
0.02093651	0	0.1747798	2.445819371	0.080642907	0.85342547	4.133100424	0.101008482	0.572746331	0.443266903	3420	62.371
0.02091693	0	0.8417935	1.531693639	0.11741698	1.158335725	3.813152495	0.2278277	0.100467827	0.555118893	3420	45.293
0.02108752	0	0.357592	1.074325383	0.062353767	1.092643365	3.611485319	0.19780665	-0.866050538	0.500526728	3420	37.021
