myscore	sp	random	zscore	investment	q	size	tangibility	cashflow	leverage	sic	at
0.02041795	1	0.0000445	2.105081682	0.115796641	1.234672885	4.501663506	0.236516686	0.255242851	0.440637927	3080	90.167
0.0241639	1	0.0000677	0.035833333	0.022222222	2.141958333	-0.040821995	0.064583333	0.944444444	0.89375	3674	0.96
0.0212772	1	0.0000741	-2.901293503	0.288256228	1.634666865	3.408768647	0.03271801	-4.503558719	0.000562393	2890	30.228
0.02194684	1	0.0000763	-7.924300504	0.52443385	9.931239508	1.966832597	0.12506995	-7.088200238	0	3845	7.148
0.02160247	1	0.0001017	-1.227393313	0.169582773	2.246194048	3.002161561	0.058323811	-0.592866756	0	3576	20.129
0.01975468	1	0.0001103	2.051060775	0.435777724	2.09377853	5.516002045	0.173721741	1.674904076	0.024155503	3825	248.639
0.02041367	1	0.0001721	-0.242871676	0.112779783	1.633123258	3.894856501	0.437160471	-0.652466907	0.578017864	3714	49.149
0.02182432	1	0.000187	3.900423435	0.136894825	1.755171456	2.667644786	0.197348327	0.897829716	0.013258365	3390	14.406
0.01977058	1	0.0001911	1.10154878	0.58546169	0.861800398	5.621422083	0.137974968	0.874263261	0.445197298	3944	276.282
0.02371025	1	0.000203	-14.96382979	0.343283582	9.994148936	-0.755022584	0.136170213	-11.01492537	0.055319149	3537	0.47
0.01834997	1	0.0002033	3.073579632	0.675339635	1.978679311	7.939784291	0.083988449	4.344277863	0.109140271	3559	2806.755
0.02097561	1	0.0002044	2.788657809	0.101320348	1.145914996	3.033605926	0.520026959	-0.026126042	0.371269016	2834	20.772
0.01705408	1	0.0002863	0.817108332	0.126839373	1.253801074	9.417817849	0.297740072	0.226400882	0.41331253	3411	12305.7
0.02058297	1	0.0003262	-6.628097287	0.086684492	2.321403193	4.231000236	0.056014305	-0.811016043	0.609833396	3714	68.786
0.02008922	1	0.0003625	2.842282171	0.178623819	1.67749121	5.036114589	0.188502057	0.579981578	0.001280293	3460	153.871
0.01984589	1	0.0003933	2.06540182	0.003203553	1.256260679	4.969604945	0.386684726	0.170612957	0.543779954	2092	143.97
0.02165284	1	0.0004323	-10.58378832	0.198630137	4.642724906	2.47695848	0.015035699	-19.70890411	0	2836	11.905
0.02217725	1	0.0004361	1.373048887	0.235099338	0.949533482	2.331075363	0.092428808	1.53200883	0.119156381	3861	10.289
