quarter	name	isin	symbol	treat	cnt	avg	shares	trades	turnover
5	AB INBEV	BE0003793107	ABI	0	65	88.69379358698748	1878947.553846154	12982.538461538461	165085722.64153856
5	ABLYNX	BE0003877942	ABLX	1	65	8.450438647218652	76009.86153846154	368.6	643770.5027692306
5	ACCENTIS	BE0003696102	ACCB	1	63	0.01569070363450846	366665.4285714286	6.396825396825397	5758.9911111111105
5	ACKERMANS V.HAAREN	BE0003764785	ACKB	0	55	96.12366141812116	48792.69090909091	1114.3090909090909	4657396.458363636
5	AEDIFICA	BE0003851681	AED	0	65	53.647957619709985	10558.076923076924	181.86153846153846	566806.7456923076
5	AGEAS	BE0974264930	AGS	1	65	27.408461126001907	440089.3076923077	2090.476923076923	11958590.290769234
5	AGFA-GEVAERT	BE0003755692	AGFB	1	65	2.0076351060060875	165684.93846153846	224.12307692307692	329982.2683076923
5	ARGEN-X	NL0010832176	ARGX	1	65	7.431831026394276	3736.8307692307694	12.307692307692308	26796.82953846154
5	ASCENCIO	BE0003856730	ASC	0	65	55.01406722124463	2180.9076923076923	22.338461538461537	119355.06569230769
5	ATENOR GROUP	BE0003837540	ATEB	1	65	37.836195203171734	2255.9076923076923	29.73846153846154	85536.19907692308
5	BANIMMO A	BE0003870871	BANI	1	65	7.556116668736966	3357.123076923077	15.723076923076922	25075.104153846143
5	BARCO	BE0003790079	BAR	0	65	57.21576840343893	27826.292307692307	414.87692307692305	1582458.1326153844
5	BEFIMMO	BE0003678894	BEFB	0	65	60.72973941659466	27817.184615384616	547.7538461538461	1686669.0467692313
5	LEASINVEST	BE0003770840	LEAS	0	65	87.22763910875422	1893.1076923076923	65.67692307692307	164295.63969230768
5	MDXHEALTH	BE0003844611	MDXH	1	65	4.003782919224908	99036.16923076923	172.92307692307693	395897.66000000027
5	MELEXIS	BE0165385973	MELE	1	65	35.42854607927155	28488.984615384616	392.83076923076925	990104.6815384618
5	MIKO	BE0003731453	MIKO	0	60	67.32257852596663	341.15	5.45	23039.38800000001
5	MOBISTAR	BE0003735496	MOBB	1	65	17.351957417167	138633.63076923077	749.9230769230769	2418907.8059999994
5	MONTEA C.V.A.	BE0003853703	MONT	1	65	32.89486491061307	5032.307692307692	42.43076923076923	165525.27430769228
5	NYRSTAR	BE0003876936	NYR	1	65	2.7197307524987493	1735328.723076923	1405.4307692307693	4646085.60476923
5	ONTEX GROUP	BE0974276082	ONTEX	1	65	21.174982058555276	132201.5846153846	731.0461538461539	2854095.3661538465
5	OPTION	BE0003836534	OPTI	1	65	0.3149683783664069	246653	54.89230769230769	82021.06599999999
5	PICANOL	BE0003807246	PIC	1	65	26.36837405748847	2197.4461538461537	26	57402.58523076922
5	QRF	BE0974272040	QRF	1	64	25.91481664423531	2680.671875	20.21875	69573.293125
5	QUESTFOR GR-PRICAF	BE0003730448	QFG	1	64	7.3590860627702	5571.796875	21.484375	40955.143749999996
5	REALDOLMEN	BE0003899193	REA	1	65	18.171405416072783	3831.246153846154	47.63076923076923	69405.62030769231
5	RECTICEL	BE0003656676	REC	1	65	5.80179903606943	40272.46153846154	126.58461538461539	228633.86538461543
5	RENTABILIWEB	BE0946620946	BIL	1	65	6.24302737710363	12797.969230769231	94.3076923076923	80717.46676923076
5	RETAIL ESTATES	BE0003720340	RET	0	65	65.30440678071723	3099.1692307692306	48.61538461538461	204442.5395384615
5	RHJ INTERNATIONAL	BE0003815322	RHJI	1	65	4.303570727568162	192798.12307692308	197.52307692307693	831406.6295384614
5	ROULARTA	BE0003741551	ROU	1	65	11.696667009745912	1617.5230769230768	8.523076923076923	19104.431230769223
5	RTL GROUP	LU0061462528	RTL	0	65	73.98561641001666	19238.23076923077	273.61538461538464	1402693.1558461534
5	SAPEC	BE0003625366	SAP	1	65	31.912891603369314	523.6	9.061538461538461	16677.38984615385
5	BEKAERT	BE0974258874	BEKB	1	65	25.682761714098493	101947.61538461539	976.2615384615384	2614693.041230769
5	BELGACOM	BE0003810273	BELG	1	65	29.616318489106494	823468.4307692308	3644.923076923077	24247423.894615386
5	BPOST	BE0974268972	BPOST	1	65	19.82217403165369	315886.43076923076	1629.8153846153846	6201421.801846153
5	BREDERODE	LU1068091351	BREB	1	65	29.25402653087263	4723.676923076923	40.86153846153846	137582.78723076923
5	CARDIO3 BIO	BE0974260896	CARD	1	65	34.53026697294734	8868.861538461539	148.87692307692308	307155.0241538462
5	CFE	BE0003883031	CFEB	0	65	84.21039098261589	16093.461538461539	352.33846153846156	1336570.8264615384
5	CMB	BE0003817344	CMB	1	65	15.269117986786066	15040.984615384616	148.53846153846155	227735.92784615394
5	COFINIMMO	BE0003593044	COFB	0	65	91.64971627857358	34227.24615384615	847.9384615384615	3116137.4535384625
5	COLRUYT	BE0974256852	COLR	1	65	36.574452672202504	194359.55384615384	1553.2153846153847	7075478.920769232
5	CONNECT GROUP	BE0003786036	CONN	1	65	1.5980780706754147	1722.5076923076922	5.676923076923077	2694.2009230769227
5	GBL	BE0003797140	GBLB	0	65	70.43277133042122	93639.92307692308	1369.1846153846154	6575731.397230769
5	GIMV	BE0003699130	GIMB	1	65	36.68564501223278	17390.907692307694	258.46153846153845	637798.8676923077
5	GLOBAL GRAPHICS	FR0004152221	GLOG	1	62	1.7521276780069652	22066.387096774193	10.274193548387096	41841.19919354839
5	GREENYARD FOODS	BE0003765790	GRYFO	1	65	11.802770009479914	1896.5692307692307	10.015384615384615	22294.25584615384
5	HAMON	BE0003700144	HAMO	1	65	10.326846530429114	2887.3076923076924	23.892307692307693	29770.667692307685
5	HOME INV.BELG-SIFI	BE0003760742	HOMI	0	65	83.48792603946218	1031.9076923076923	17.2	86005.84830769231
5	IBA	BE0003766806	IBAB	1	65	13.991300007911194	47560.338461538464	272.9384615384615	665819.6339999998
5	IEP INVEST	BE0003748622	IEP	1	65	4.089309571149521	3406.9076923076923	9.2	13974.186153846153
5	IMMO MOURY	BE0003893139	IMMOU	1	65	49.17954541581254	69.12307692307692	2.6615384615384614	3404.3967692307683
5	IMMOBEL	BE0003599108	IMMO	1	65	42.52861757285984	2109.4153846153845	34.50769230769231	89609.26230769232
5	INTERVEST OFF-WARE	BE0003746600	INTO	1	65	22.063228741912923	5758.538461538462	83.18461538461538	127355.68876923074
5	JENSEN-GROUP	BE0003858751	JEN	1	61	15.483327180631367	3469.0491803278687	18.901639344262296	53248.57065573771
5	KBC	BE0003565737	KBC	1	65	43.219245054357145	1152605.476923077	7166.215384615384	49273123.14676922
5	KBC ANCORA	BE0003867844	KBCA	1	65	24.38312996110621	49992.32307692308	408.5076923076923	1211660.6709230773
5	KEYWARE TECH.	BE0003880979	KEYW	1	65	0.540329124706774	10156.969230769231	7.6461538461538465	5657.722923076921
5	KINEPOLIS GROUP	BE0974274061	KIN	1	65	31.663849025651093	19249.89230769231	223.2923076923077	607358.957846154
5	D&#039;IETEREN	BE0974259880	DIE	1	65	29.552454348152462	26676.923076923078	407.7692307692308	786159.7676923077
5	DECEUNINCK	BE0003789063	DECB	1	65	1.9489891228414769	66396.41538461538	74.03076923076924	132861.008
5	DELHAIZE GROUP	BE0003562700	DELB	0.015384615384615385	65	55.88690709602642	408757.8153846154	3778.5846153846155	22749362.23353847
5	DEXIA	BE0003796134	DEXB	1	65	0.027338940734174415	2153037.323076923	96.12307692307692	58635.240461538466
5	ECKERT-ZIEGLER BG	BE0003689032	EZBG	1	65	1.6503825829315595	3556.6153846153848	6.138461538461539	5865.012153846152
5	ECONOCOM GROUP	BE0974266950	ECONB	1	65	5.765767000880189	207380.15384615384	532.0615384615385	1207827.3736923083
5	ELIA	BE0003822393	ELI	1	65	38.715552561623376	70236.56923076924	561.2923076923076	2676974.432769231
5	EURONAV	BE0003816338	EURN	1	65	9.044080189472025	203219.13846153847	576.2615384615384	1901332.6232307688
5	EVS BROADC.EQUIPM.	BE0003820371	EVS	1	65	26.635823418644264	32469.492307692308	374	869999.31
5	EXMAR	BE0003808251	EXM	1	65	10.771979324352747	65718.46153846153	327.5076923076923	700853.7656923076
5	FAGRON	BE0003874915	FAGR	1	65	34.451044260796266	115590.24615384615	1128.4	3937466.5507692304
5	FLUXYS BELGIUM D	BE0974265945	FLUX	1	65	27.028107759619036	2501.630769230769	28.46153846153846	67359.69584615385
5	FOUNTAIN	BE0003752665	FOU	1	52	1.8532220872000011	2431.019230769231	4.519230769230769	4620.124807692308
5	SIOEN	BE0003743573	SIOE	1	65	11.398519717072213	11247.246153846154	90.9076923076923	126033.29938461544
5	SIPEF	BE0003898187	SIP	0.26153846153846155	65	51.98228686947377	4595.830769230769	106.07692307692308	233312.96907692312
5	SMARTPHOTO GROUP	BE0003663748	SMAR	1	62	0.2823123992182329	12063.90322580645	6.709677419354839	3400.726935483871
5	SOFINA	BE0003717312	SOF	0	65	85.75937809132596	8352.107692307693	174.98461538461538	713409.6207692309
5	TELENET GROUP	BE0003826436	TNET	1	65	45.124619037912446	118635.4923076923	1476.5846153846153	5347070.627999998
5	TER BEKE	BE0003573814	TERB	0	65	61.240557035399	492.44615384615383	12.584615384615384	30186.922
5	TESSENDERLO	BE0003555639	TESB	1	65	20.081420476303396	69122.24615384615	523.7692307692307	1385133.6975384618
