season	tic	treat	avgvol	ticnum
1	OPTI	0	111059.30232558139	0
2	OPTI	0	294572.7272727273	0
3	OPTI	0	369315.625	0
4	OPTI	1	1074963.076923077	0
1	AGFB	0	301365.11627906974	2
2	AGFB	0	254336.36363636365	2
3	AGFB	0	357501.5625	2
4	AGFB	1	355695.3846153846	2
1	VASTB	0	610.4651162790698	4
2	VASTB	0	730.3030303030303	4
3	VASTB	0	873.4375	4
4	VASTB	0	1015.3846153846154	4
1	PCBB	0	162.7906976744186	6
2	PCBB	0	657.5757575757576	6
3	PCBB	0	551.5625	6
4	PCBB	1	367.6923076923077	6
1	SMAR	0	53380.232558139534	7
2	SMAR	0	26928.78787878788	7
3	SMAR	0	17182.8125	7
4	SMAR	1	9055.384615384615	7
1	FLUX	0	3229.0697674418607	8
2	FLUX	0	2727.2727272727275	8
3	FLUX	0	2360.9375	8
4	FLUX	1	1996.923076923077	8
1	AGS	0	521558.1395348837	13
2	AGS	0	435577.2727272727	13
3	AGS	0	455296.875	13
4	AGS	1	439500	13
1	JEN	0	2293.0232558139537	14
2	JEN	0	5362.121212121212	14
3	JEN	0	3939.0625	14
4	JEN	1	3324.6153846153848	14
1	LOUV	0	3.488372093023256	16
2	LOUV	0	3.0303030303030303	16
3	LOUV	0	12.5	16
4	LOUV	0	3.076923076923077	16
1	WESL	0	3.488372093023256	17
2	WESL	0	3.0303030303030303	17
4	WESL	1	16.923076923076923	17
1	LEAS	0	1889.5348837209303	19
2	LEAS	0	1421.2121212121212	19
3	LEAS	0	2167.1875	19
4	LEAS	0	1872.3076923076924	19
1	SAB	0	33.72093023255814	20
2	SAB	0	90.9090909090909	20
3	SAB	0	39.0625	20
4	SAB	1	15.384615384615385	20
1	IEP	0	18231.39534883721	21
2	IEP	0	36342.42424242424	21
3	IEP	0	7490.625	21
4	IEP	1	21076.923076923078	21
1	ECONB	0	64618.604651162794	24
2	ECONB	0	155457.57575757575	24
3	ECONB	0	173459.375	24
4	ECONB	1	93926.15384615384	24
2	MOUR	0	65.15151515151516	25
3	MOUR	0	126.5625	25
1	ACCB	0	336782.5581395349	27
2	ACCB	0	648233.3333333334	27
3	ACCB	0	534115.625	27
4	ACCB	1	292726.1538461539	27
1	DEXB	0	6240031.395348838	28
2	DEXB	0	3035115.1515151514	28
3	DEXB	0	1686856.25	28
4	DEXB	1	3862298.4615384615	28
1	MONT	0	1130.2325581395348	29
2	MONT	0	1857.5757575757575	29
3	MONT	0	2692.1875	29
4	MONT	1	3496.923076923077	29
1	TEXF	0	938.3720930232558	30
2	TEXF	0	687.8787878787879	30
3	TEXF	0	423.4375	30
4	TEXF	1	576.9230769230769	30
1	REC	0	21877.906976744187	31
2	REC	0	51107.57575757576	31
3	REC	0	58853.125	31
4	REC	1	34164.61538461538	31
1	AUDB	0	20.930232558139537	32
2	AUDB	0	21.21212121212121	32
3	AUDB	0	14.0625	32
4	AUDB	0	32.30769230769231	32
1	MELE	0	17508.13953488372	33
2	MELE	0	23621.21212121212	33
3	MELE	0	27170.3125	33
4	MELE	1	31209.23076923077	33
1	SOF	0	7865.116279069767	34
2	SOF	0	11600	34
3	SOF	0	11203.125	34
4	SOF	0	8312.307692307691	34
1	ABI	0	1597372.0930232557	35
2	ABI	0	846010.6060606061	35
3	ABI	0	1373971.875	35
4	ABI	0	1386678.4615384615	35
1	TUB	0	7646.511627906977	36
2	TUB	0	9131.818181818182	36
3	TUB	0	12128.125	36
4	TUB	0	9758.461538461539	36
1	DIE	0	39926.74418604651	38
2	DIE	0	38713.63636363636	38
3	DIE	0	73118.75	38
4	DIE	1	38172.307692307695	38
1	RHJI	0	76051.16279069768	39
2	RHJI	0	60030.30303030303	39
3	RHJI	0	113857.8125	39
4	RHJI	1	70675.38461538461	39
1	EURN	0	45904.651162790695	40
2	EURN	0	102312.12121212122	40
3	EURN	0	275771.875	40
4	EURN	1	69918.46153846153	40
1	AED	0	7591.860465116279	41
2	AED	0	6821.212121212121	41
3	AED	0	8428.125	41
4	AED	0	7138.461538461538	41
1	ROU	0	1560.4651162790697	42
2	ROU	0	1396.969696969697	42
3	ROU	0	2859.375	42
4	ROU	1	1463.076923076923	42
1	TUBAT	0	6395.3488372093025	43
2	TUBAT	0	274.24242424242425	43
3	TUBAT	0	62.5	43
4	TUBAT	1	38.46153846153846	43
1	GLPG	0	66039.53488372093	44
2	GLPG	0	88474.24242424243	44
3	GLPG	0	110195.3125	44
1	EZBG	0	3230.232558139535	46
2	EZBG	0	5142.424242424242	46
3	EZBG	0	5031.25	46
4	EZBG	1	2336.923076923077	46
1	FLOB	0	25.58139534883721	48
2	FLOB	0	54.54545454545455	48
3	FLOB	0	110.9375	48
4	FLOB	0	63.07692307692308	48
1	MIKO	0	311.6279069767442	49
2	MIKO	0	236.36363636363637	49
3	MIKO	0	428.125	49
4	MIKO	0	372.3076923076923	49
1	UNITB	0	489.5348837209302	51
2	UNITB	0	1303.030303030303	51
3	UNITB	0	1571.875	51
4	UNITB	1	1021.5384615384615	51
1	SPA	0	110.46511627906976	52
2	SPA	0	148.4848484848485	52
3	SPA	0	153.125	52
4	SPA	0	49.23076923076923	52
1	RCUS	0	76226.74418604652	54
2	RCUS	0	49301.51515151515	54
3	RCUS	0	129087.5	54
4	RCUS	1	82573.84615384616	54
1	ZTS	0	3431.3953488372094	56
2	ZTS	0	2295.4545454545455	56
3	ZTS	0	4540.625	56
4	ZTS	1	2572.3076923076924	56
1	KEYW	0	6102.325581395349	57
2	KEYW	0	11590.90909090909	57
3	KEYW	0	13603.125	57
4	KEYW	1	5906.153846153846	57
1	GBLB	0	96294.18604651163	58
2	GBLB	0	55678.78787878788	58
3	GBLB	0	86509.375	58
4	GBLB	0	84318.46153846153	58
1	SIOE	0	9996.511627906977	59
2	SIOE	0	16142.424242424242	59
3	SIOE	0	9053.125	59
4	SIOE	1	13249.23076923077	59
1	EVS	0	21038.372093023256	61
2	EVS	0	48178.78787878788	61
3	EVS	0	33726.5625	61
4	EVS	1	40320	61
1	BANI	0	2398.8372093023254	62
2	BANI	0	1739.3939393939395	62
3	BANI	0	4367.1875	62
4	BANI	1	2253.846153846154	62
1	CFEB	0	18544.18604651163	64
2	CFEB	0	16542.424242424244	64
3	CFEB	0	19539.0625	64
4	CFEB	0	12844.615384615385	64
1	VGP	0	203.48837209302326	65
2	VGP	0	133.33333333333334	65
3	VGP	0	192.1875	65
4	VGP	1	263.0769230769231	65
1	COFB	0	36623.25581395349	68
2	COFB	0	27443.939393939392	68
3	COFB	0	33923.4375	68
4	COFB	0	37498.46153846154	68
1	MDXH	0	125651.16279069768	69
2	MDXH	0	47556.06060606061	69
3	MDXH	0	169220.3125	69
4	MDXH	1	76393.84615384616	69
1	ELI	0	29424.418604651164	71
2	ELI	0	30750	71
3	ELI	0	27731.25	71
4	ELI	1	42107.692307692305	71
1	BELR	0	3.488372093023256	73
4	BELR	0	46.15384615384615	73
3	QRF	0	2237.5	74
4	QRF	1	1480	74
1	NYR	0	584353.4883720931	75
2	NYR	0	1000131.8181818182	75
3	NYR	0	792839.0625	75
4	NYR	1	395735.3846153846	75
1	ABO	0	11338.372093023256	76
2	ABO	0	29484.848484848484	76
3	ABO	0	79539.0625	76
4	ABO	1	322029.23076923075	76
1	MEDV	0	205.8139534883721	77
2	MEDV	0	657.5757575757576	77
3	MEDV	0	600	77
4	MEDV	1	76.92307692307692	77
1	BIL	0	10845.348837209302	78
2	BIL	0	25506.060606060608	78
3	BIL	0	25668.75	78
4	BIL	1	19741.53846153846	78
1	CARD	0	5337.096774193548	79
2	CARD	0	36760.606060606064	79
3	CARD	0	40251.5625	79
4	CARD	1	12647.692307692309	79
1	SAP	0	261.6279069767442	80
2	SAP	0	189.3939393939394	80
3	SAP	0	171.875	80
4	SAP	1	120	80
1	TNET	0	98851.16279069768	81
2	TNET	0	78871.21212121213	81
3	TNET	0	94354.6875	81
4	TNET	1	97870.76923076923	81
1	COLR	0	134723.2558139535	82
2	COLR	0	119224.24242424243	82
3	COLR	0	160679.6875	82
4	COLR	1	132238.46153846153	82
1	WDP	0	10882.558139534884	83
2	WDP	0	8939.39393939394	83
3	WDP	0	12046.875	83
4	WDP	0	11826.153846153846	83
1	TESB	0	51030.232558139534	84
2	TESB	0	64187.878787878784	84
3	TESB	0	64523.4375	84
4	TESB	1	43615.38461538462	84
1	MARC	0	8.13953488372093	86
2	MARC	0	74.24242424242425	86
3	MARC	0	17.1875	86
4	MARC	1	118.46153846153847	86
1	KBCA	0	87259.30232558139	87
2	KBCA	0	95827.27272727272	87
3	KBCA	0	66145.3125	87
4	KBCA	1	42084.61538461538	87
1	UCB	0	241093.02325581395	88
2	UCB	0	198037.87878787878	88
3	UCB	0	293942.1875	88
4	UCB	0	194363.07692307694	88
1	HAMO	0	2541.860465116279	89
2	HAMO	0	3240.909090909091	89
3	HAMO	0	4276.5625	89
4	HAMO	1	2606.153846153846	89
1	BELU	0	227.90697674418604	90
2	BELU	0	68.18181818181819	90
3	BELU	0	182.8125	90
4	BELU	1	213.84615384615384	90
1	MOBB	0	191459.3023255814	91
2	MOBB	0	119450	91
3	MOBB	0	130807.8125	91
4	MOBB	1	154195.38461538462	91
1	LUXA	0	25.58139534883721	93
2	LUXA	0	42.42424242424242	93
3	LUXA	0	37.5	93
4	LUXA	0	18.75	93
1	BPOST	0	381925	94
2	BPOST	0	112207.57575757576	94
3	BPOST	0	467864.0625	94
4	BPOST	1	235975.38461538462	94
1	FOY	0	811.6279069767442	95
2	FOY	0	192.42424242424244	95
3	FOY	0	421.875	95
4	FOY	0	1776.923076923077	95
1	SUCR	0	72.09302325581395	97
2	SUCR	0	39.39393939393939	97
3	SUCR	0	57.8125	97
4	SUCR	1	13.846153846153847	97
1	QFG	0	3959.3023255813955	98
2	QFG	0	5439.0625	98
3	QFG	0	12311.111111111111	98
4	QFG	1	5416.393442622951	98
1	TIG	0	1045262.7906976744	99
2	TIG	0	2813589.393939394	99
3	TIG	0	3523450	99
4	TIG	1	762216.9230769231	99
1	CAMB	0	227.90697674418604	100
2	CAMB	0	193.93939393939394	100
3	CAMB	0	187.5	100
4	CAMB	1	296.9230769230769	100
1	VAN	0	4200	101
2	VAN	0	6796.969696969697	101
3	VAN	0	8232.8125	101
4	VAN	1	4138.461538461538	101
1	WEHB	0	1313.953488372093	102
2	WEHB	0	1734.8484848484848	102
3	WEHB	0	1232.8125	102
4	WEHB	0	1247.6923076923076	102
1	ENINV	0	782.5581395348837	103
2	ENINV	0	5700	103
3	ENINV	0	5925	103
4	ENINV	1	3753.846153846154	103
1	IMMOU	0	24.41860465116279	104
2	IMMOU	0	40.90909090909091	104
3	IMMOU	0	87.5	104
4	IMMOU	1	107.6923076923077	104
1	RTL	0	34329.06976744186	105
2	RTL	0	47728.78787878788	105
3	RTL	0	22525	105
4	RTL	0	21447.69230769231	105
4	INTO	1	5469.2307692307695	106
1	THI	0	116.27906976744185	107
2	THI	0	2263.6363636363635	107
3	THI	0	75	107
4	THI	1	21.53846153846154	107
1	ZENT	0	4574.418604651163	108
2	ZENT	0	3365.151515151515	108
3	ZENT	0	8479.6875	108
4	ZENT	1	9527.692307692309	108
1	UMI	0	484456.9767441861	110
2	UMI	0	274462.1212121212	110
3	UMI	0	564965.625	110
4	UMI	1	458669.23076923075	110
1	BEFB	0	21706.493506493505	111
2	BEFB	0	19053.030303030304	111
3	BEFB	0	24220.3125	111
4	BEFB	0	25130.76923076923	111
1	NEU	0	4.651162790697675	112
2	NEU	0	21.21212121212121	112
3	NEU	0	7.8125	112
4	NEU	1	3.076923076923077	112
1	ABLX	0	153754.6511627907	113
2	ABLX	0	137801.51515151514	113
3	ABLX	0	240131.25	113
4	ABLX	1	95649.23076923077	113
1	BELG	0	668127.9069767442	114
2	BELG	0	709512.1212121212	114
3	BELG	0	641396.875	114
4	BELG	1	637072.3076923077	114
1	GRYFO	0	2820.9302325581393	115
2	GRYFO	0	1762.121212121212	115
3	GRYFO	0	3500	115
4	GRYFO	1	2470.769230769231	115
3	VIO	0	52064.0625	116
4	VIO	1	27213.846153846152	116
1	DELB	0	485934.88372093026	119
2	DELB	0	406637.8787878788	119
3	DELB	0	539262.5	119
4	DELB	0	373869.23076923075	119
1	CONN	0	1551.1627906976744	120
2	CONN	0	2856.060606060606	120
3	CONN	0	3081.25	120
4	CONN	1	1666.1538461538462	120
1	DECB	0	60551.16279069767	121
2	DECB	0	112554.54545454546	121
3	DECB	0	238670.3125	121
4	DECB	1	76615.38461538461	121
1	IBAB	0	20056.976744186046	122
2	IBAB	0	31774.242424242424	122
3	IBAB	0	23748.4375	122
4	IBAB	1	56920	122
1	FOU	0	372.09302325581393	123
2	FOU	0	693.939393939394	123
3	FOU	0	1731.25	123
4	FOU	1	672.3076923076923	123
2	ENVI	0	42.42424242424242	124
1	BAR	0	31636.04651162791	127
2	BAR	0	24618.18181818182	127
3	BAR	0	25009.375	127
4	BAR	0	22887.69230769231	127
1	ACKB	0	26846.511627906977	128
2	ACKB	0	16707.575757575756	128
3	ACKB	0	32953.125	128
4	ACKB	0	28520	128
1	REA	0	3395.3488372093025	129
2	REA	0	7083.333333333333	129
3	REA	0	11678.125	129
4	REA	1	5152.307692307692	129
1	BEKB	0	121540.69767441861	130
2	BEKB	0	98656.06060606061	130
3	BEKB	0	85829.6875	130
4	BEKB	1	54804.61538461538	130
1	PIC	0	5174.418604651163	131
2	PIC	0	3934.848484848485	131
3	PIC	0	5898.4375	131
4	PIC	1	1561.5384615384614	131
1	KBC	0	1070689.534883721	136
2	KBC	0	908718.1818181818	136
3	KBC	0	1059756.25	136
4	KBC	1	920507.6923076923	136
1	RES	0	1717.4418604651162	138
2	RES	0	1969.6969696969697	138
1	EXM	0	61204.651162790695	139
2	EXM	0	118689.39393939394	139
3	EXM	0	67942.1875	139
4	EXM	1	55373.846153846156	139
1	SIP	0	3346.5116279069766	140
2	SIP	0	2760.6060606060605	140
3	SIP	0	3084.375	140
4	SIP	0	2586.153846153846	140
1	CMB	0	19616.279069767443	143
2	CMB	0	24231.81818181818	143
3	CMB	0	22673.4375	143
4	CMB	1	19010.76923076923	143
3	WESB	0	1.5625	144
4	WESB	1	3.076923076923077	144
1	ATEB	0	1641.860465116279	145
2	ATEB	0	1763.6363636363637	145
3	ATEB	0	2176.5625	145
4	ATEB	1	1843.076923076923	145
1	THR	0	261089.53488372092	146
2	THR	0	166625.75757575757	146
3	THR	0	158320.3125	146
4	THR	1	210472.3076923077	146
1	PAY	0	1494.1860465116279	147
2	PAY	0	984.8484848484849	147
3	PAY	0	4279.6875	147
4	PAY	1	2909.230769230769	147
1	ASC	0	302.3255813953488	148
2	ASC	0	512.1212121212121	148
3	ASC	0	1153.125	148
4	ASC	0	3472.3076923076924	148
1	OIM	0	24546.511627906977	149
2	OIM	0	138218.18181818182	149
3	OIM	0	123978.125	149
4	OIM	1	182870.76923076922	149
1	ANT	0	55.81395348837209	151
2	ANT	0	81.81818181818181	151
3	ANT	0	3.125	151
4	ANT	0	18.46153846153846	151
4	CPINV	1	3509.230769230769	152
1	GLOG	0	5003.488372093023	153
2	GLOG	0	14092.424242424242	153
3	GLOG	0	15601.5625	153
4	GLOG	1	10889.23076923077	153
