season	tic	treat	avgvol	ticnum
1	VASTB	0	610.4651162790698	4
2	VASTB	0	730.3030303030303	4
1	FLUX	0	3229.0697674418607	8
2	FLUX	1	2727.2727272727275	8
1	AGS	0	521558.1395348837	13
2	AGS	1	435577.2727272727	13
1	LOUV	0	3.488372093023256	16
2	LOUV	0	3.0303030303030303	16
1	LEAS	0	1889.5348837209303	19
2	LEAS	0	1421.2121212121212	19
1	SAB	0	33.72093023255814	20
2	SAB	1	90.9090909090909	20
1	MONT	0	1130.2325581395348	29
2	MONT	1	1857.5757575757575	29
1	TEXF	0	938.3720930232558	30
2	TEXF	1	687.8787878787879	30
1	AUDB	0	20.930232558139537	32
2	AUDB	0	21.21212121212121	32
2	MELE	1	23621.21212121212	33
1	SOF	0	7865.116279069767	34
2	SOF	0	11600	34
1	ABI	0	1597372.0930232557	35
2	ABI	0	846010.6060606061	35
1	TUB	0	7646.511627906977	36
2	TUB	1	9131.818181818182	36
1	DIE	0	39926.74418604651	38
2	DIE	1	38713.63636363636	38
1	AED	0	7591.860465116279	41
2	AED	0	6821.212121212121	41
1	FLOB	0	25.58139534883721	48
2	FLOB	0	54.54545454545455	48
1	MIKO	0	311.6279069767442	49
2	MIKO	0	236.36363636363637	49
1	SPA	0	110.46511627906976	52
2	SPA	0	148.4848484848485	52
1	RCUS	0	76226.74418604652	54
2	RCUS	1	49301.51515151515	54
1	GBLB	0	96294.18604651163	58
2	GBLB	0	55678.78787878788	58
1	EVS	0	21038.372093023256	61
2	EVS	1	48178.78787878788	61
1	CFEB	0	18544.18604651163	64
2	CFEB	0	16542.424242424244	64
1	ELI	0	29424.418604651164	71
2	ELI	1	30750	71
2	CARD	1	36760.606060606064	79
1	SAP	0	261.6279069767442	80
2	SAP	1	189.3939393939394	80
1	TNET	0	98851.16279069768	81
2	TNET	1	78871.21212121213	81
1	COLR	0	134723.2558139535	82
2	COLR	1	119224.24242424243	82
1	WDP	0	10882.558139534884	83
2	WDP	0	8939.39393939394	83
2	KBCA	1	95827.27272727272	87
1	UCB	0	241093.02325581395	88
2	UCB	1	198037.87878787878	88
1	LUXA	0	25.58139534883721	93
1	FOY	0	811.6279069767442	95
2	FOY	0	192.42424242424244	95
1	VAN	0	4200	101
2	VAN	1	6796.969696969697	101
1	IMMOU	0	24.41860465116279	104
2	IMMOU	0	40.90909090909091	104
1	RTL	0	34329.06976744186	105
1	UMI	0	484456.9767441861	110
2	UMI	1	274462.1212121212	110
1	BEFB	0	21706.493506493505	111
2	BEFB	0	19053.030303030304	111
2	BELG	1	709512.1212121212	114
1	DELB	0	485934.88372093026	119
2	DELB	1	406637.8787878788	119
1	BAR	0	31636.04651162791	127
2	BAR	0	24618.18181818182	127
1	ACKB	0	26846.511627906977	128
2	ACKB	0	16707.575757575756	128
1	BEKB	0	121540.69767441861	130
2	BEKB	1	98656.06060606061	130
1	PIC	0	5174.418604651163	131
2	PIC	1	3934.848484848485	131
1	KBC	0	1070689.534883721	136
2	KBC	1	908718.1818181818	136
1	RES	0	1717.4418604651162	138
1	SIP	0	3346.5116279069766	140
2	SIP	0	2760.6060606060605	140
2	CMB	1	24231.81818181818	143
1	ATEB	0	1641.860465116279	145
2	ATEB	1	1763.6363636363637	145
1	THR	0	261089.53488372092	146
1	ASC	0	302.3255813953488	148
2	ASC	0	512.1212121212121	148
1	ANT	0	55.81395348837209	151
2	ANT	0	81.81818181818181	151
1	TERB	0	355.8139534883721	154
2	TERB	0	440.90909090909093	154
1	IMMO	0	1902.3255813953488	155
2	IMMO	1	2036.3636363636363	155
1	GIMB	0	12774.418604651162	156
2	GIMB	1	14439.0625	156
1	BREB	0	4794.186046511628	157
2	BREB	1	5724.242424242424	157
