season	tic	treat
0	VASTB	0	610.4651162790698
1	VASTB	0	730.3030303030303
2	VASTB	0	873.4375
3	VASTB	0	1015.3846153846154
0	FLUX	1	3229.0697674418607
1	FLUX	1	2727.2727272727275
2	FLUX	1	2360.9375
3	FLUX	1	1996.923076923077
0	AGS	1	521558.1395348837
1	AGS	1	435577.2727272727
2	AGS	1	455296.875
3	AGS	1	439500
0	LOUV	0	3.488372093023256
1	LOUV	0	3.0303030303030303
2	LOUV	0	12.5
3	LOUV	0	3.076923076923077
0	LEAS	0	1889.5348837209303
1	LEAS	0	1421.2121212121212
2	LEAS	0	2167.1875
0	SAB	1	33.72093023255814
1	SAB	1	90.9090909090909
2	SAB	1	39.0625
3	SAB	1	15.384615384615385
0	MONT	1	1130.2325581395348
1	MONT	1	1857.5757575757575
2	MONT	1	2692.1875
3	MONT	1	3496.923076923077
0	TEXF	1	938.3720930232558
1	TEXF	1	687.8787878787879
2	TEXF	1	423.4375
3	TEXF	1	576.9230769230769
0	AUDB	0	20.930232558139537
1	AUDB	0	21.21212121212121
2	AUDB	0	14.0625
3	AUDB	0	32.30769230769231
1	MELE	1	23621.21212121212
2	MELE	1	27170.3125
3	MELE	1	31209.23076923077
0	SOF	0	7865.116279069767
1	SOF	0	11600
0	ABI	0	1597372.0930232557
1	ABI	0	846010.6060606061
2	ABI	0	1373971.875
0	TUB	1	7646.511627906977
1	TUB	1	9131.818181818182
2	TUB	1	12128.125
3	TUB	0	9758.461538461539
0	DIE	1	39926.74418604651
1	DIE	1	38713.63636363636
2	DIE	1	73118.75
3	DIE	1	38172.307692307695
0	AED	1	7591.860465116279
1	AED	0	6821.212121212121
2	AED	0	8428.125
3	AED	0	7138.461538461538
0	FLOB	0	25.58139534883721
1	FLOB	0	54.54545454545455
2	FLOB	0	110.9375
3	FLOB	0	63.07692307692308
0	MIKO	0	311.6279069767442
1	MIKO	0	236.36363636363637
2	MIKO	0	428.125
3	MIKO	0	372.3076923076923
0	SPA	0	110.46511627906976
1	SPA	0	148.4848484848485
2	SPA	0	153.125
3	SPA	0	49.23076923076923
0	RCUS	1	76226.74418604652
1	RCUS	1	49301.51515151515
2	RCUS	1	129087.5
3	RCUS	1	82573.84615384616
3	ZTS	1	2572.3076923076924
0	GBLB	0	96294.18604651163
1	GBLB	0	55678.78787878788
2	GBLB	0	86509.375
3	GBLB	0	84318.46153846153
0	EVS	0	21038.372093023256
1	EVS	1	48178.78787878788
2	EVS	1	33726.5625
3	EVS	1	40320
0	CFEB	1	18544.18604651163
1	CFEB	0	16542.424242424244
2	CFEB	0	19539.0625
3	CFEB	0	12844.615384615385
0	ELI	1	29424.418604651164
1	ELI	1	30750
2	ELI	1	27731.25
3	ELI	1	42107.692307692305
2	QRF	1	2237.5
3	QRF	1	1480
1	CARD	1	36760.606060606064
2	CARD	1	40251.5625
3	CARD	1	12647.692307692309
0	SAP	1	261.6279069767442
1	SAP	1	189.3939393939394
2	SAP	1	171.875
3	SAP	1	120
0	TNET	1	98851.16279069768
1	TNET	1	78871.21212121213
2	TNET	1	94354.6875
3	TNET	1	97870.76923076923
0	COLR	1	134723.2558139535
1	COLR	1	119224.24242424243
2	COLR	1	160679.6875
3	COLR	1	132238.46153846153
0	WDP	0	10882.558139534884
1	WDP	0	8939.39393939394
2	WDP	0	12046.875
3	WDP	0	11826.153846153846
3	TESB	1	43615.38461538462
1	KBCA	1	95827.27272727272
2	KBCA	1	66145.3125
3	KBCA	1	42084.61538461538
0	UCB	1	241093.02325581395
1	UCB	1	198037.87878787878
2	UCB	0	293942.1875
3	UCB	0	194363.07692307694
0	LUXA	0	25.58139534883721
0	FOY	0	811.6279069767442
1	FOY	0	192.42424242424244
2	FOY	0	421.875
0	VAN	1	4200
1	VAN	1	6796.969696969697
2	VAN	1	8232.8125
3	VAN	1	4138.461538461538
0	IMMOU	0	24.41860465116279
1	IMMOU	0	40.90909090909091
2	IMMOU	1	87.5
3	IMMOU	1	107.6923076923077
0	RTL	0	34329.06976744186
3	INTO	1	5469.2307692307695
0	UMI	1	484456.9767441861
1	UMI	1	274462.1212121212
2	UMI	1	564965.625
3	UMI	1	458669.23076923075
0	BEFB	0	21706.493506493505
1	BEFB	0	19053.030303030304
2	BEFB	0	24220.3125
3	BEFB	0	25130.76923076923
1	BELG	1	709512.1212121212
2	BELG	1	641396.875
3	BELG	1	637072.3076923077
0	DELB	1	485934.88372093026
1	DELB	1	406637.8787878788
2	DELB	1	539262.5
3	DELB	0	373869.23076923075
0	BAR	0	31636.04651162791
1	BAR	0	24618.18181818182
2	BAR	0	25009.375
3	BAR	0	22887.69230769231
0	ACKB	0	26846.511627906977
1	ACKB	0	16707.575757575756
2	REA	1	11678.125
3	REA	1	5152.307692307692
0	BEKB	1	121540.69767441861
1	BEKB	1	98656.06060606061
2	BEKB	1	85829.6875
3	BEKB	1	54804.61538461538
0	PIC	1	5174.418604651163
1	PIC	1	3934.848484848485
2	PIC	1	5898.4375
3	PIC	1	1561.5384615384614
0	KBC	1	1070689.534883721
1	KBC	1	908718.1818181818
2	KBC	1	1059756.25
3	KBC	1	920507.6923076923
0	RES	0	1717.4418604651162
0	SIP	0	3346.5116279069766
1	SIP	0	2760.6060606060605
2	SIP	0	3084.375
3	SIP	0	2586.153846153846
1	CMB	1	24231.81818181818
2	CMB	1	22673.4375
3	CMB	1	19010.76923076923
2	WESB	1	1.5625
0	ATEB	1	1641.860465116279
1	ATEB	1	1763.6363636363637
2	ATEB	1	2176.5625
3	ATEB	1	1843.076923076923
0	THR	1	261089.53488372092
0	ASC	0	302.3255813953488
1	ASC	0	512.1212121212121
2	ASC	0	1153.125
3	ASC	0	3472.3076923076924
0	ANT	0	55.81395348837209
1	ANT	0	81.81818181818181
2	ANT	0	3.125
3	ANT	0	18.46153846153846
0	TERB	0	355.8139534883721
1	TERB	0	440.90909090909093
2	TERB	0	425
3	TERB	0	386.15384615384613
0	IMMO	1	1902.3255813953488
1	IMMO	1	2036.3636363636363
2	IMMO	1	1578.125
3	IMMO	1	1709.2307692307693
0	GIMB	1	12774.418604651162
1	GIMB	1	14439.0625
2	GIMB	1	19947.619047619046
3	GIMB	1	16077.41935483871
0	BREB	1	4794.186046511628
1	BREB	1	5724.242424242424
2	BREB	1	5718.75
