COMP,Total Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Research Development,Selling General and Administrative,Total Operating Expenses,Operating Income or Loss,Operating Income or Loss,Total Other Income/Expenses Net,Earnings Before Interest And Taxes,Interest Expense,Income Before Tax,Net Income From Continuing Ops,Net Income,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,Property Plant and Equipment,Goodwill,Intangible Assets,Accumulated Amortization,Other Assets,Total Assets,Accounts Payable,Short/Current Long Term Debt,Total Current Liabilities,Long Term Debt,Deferred Long Term Liability Charges,Total Liabilities,Common Stock,Retained Earnings,Total Stockholder Equity,Net Tangible Assets,Net Income,Depreciation,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
OPTI,1000,1000,1000,4000,0,0,4000,-3000,-3000,0,-3000,0,0,-3000,0,6000,0,1000,3000,0,10000,1000,0,0,0,0,0,15000,7000,18000,8000,18000,0,25000,7000,-15000,0,0,0,1000,0,0,0,0,-3000,0,0,0,-1000,0,0,0,6000,0,2000
AGFB,651000,444000,207000,607000,0,0,607000,44000,44000,0,44000,-5000,0,28000,0,158000,0,778000,561000,32000,1529000,11000,0,0,0,0,0,2573000,241000,334000,796000,312000,0,2162000,397000,689000,0,0,0,17000,27000,0,-12000,-47000,32000,-6000,0,0,-8000,0,0,0,-10000,0,14000
PCBB,131000,124000,7000,131000,0,0,131000,0,0,0,0,0,0,0,0,9000,0,65000,26000,5000,105000,0,0,0,0,0,0,113000,66000,19000,91000,0,0,92000,20000,1000,0,0,0,0,-4000,0,3000,0,2000,0,0,0,0,0,0,0,1000,0,2000
FLUX,143000,45000,98000,111000,0,0,111000,33000,33000,0,33000,-13000,0,13000,0,208000,114000,84000,41000,9000,456000,0,0,0,0,0,0,2846000,41000,1643000,161000,1551000,0,2128000,60000,667000,0,0,0,34000,4000,0,3000,3000,74000,-21000,0,0,-20000,0,0,0,-15000,0,38000
SGO,10223000,7722000,2502000,9594000,0,0,9594000,629000,629000,0,629000,-135000,0,347000,0,3262000,0,6588000,6455000,552000,17253000,398000,0,0,0,0,0,45111000,5878000,11781000,12246000,9666000,0,26719000,8894000,10577000,0,0,0,334000,-600000,0,-238000,0,-692000,-225000,0,0,93000,0,0,0,46000,10000,-544000
AGS,3599000,2880000,718000,3469000,0,0,3469000,130000,130000,0,130000,-42000,0,51000,0,2446000,0,50000,0,4917000,7675000,66569000,0,0,0,0,0,99232000,5649000,4429000,12112000,3234000,0,89378000,4504000,31000,0,0,0,238000,0,0,0,336000,640000,-20000,0,0,-482000,0,0,0,-658000,6000,-494000
JEN,61000,55000,6000,55000,0,0,55000,6000,6000,0,6000,0,0,4000,0,13000,0,81000,30000,0,124000,0,0,0,0,0,0,154000,19000,10000,72000,3000,0,86000,37000,37000,0,0,0,0,0,0,0,-3000,2000,0,0,0,-1000,0,0,0,-4000,0,-2000
KIN,58000,40000,17000,47000,0,0,47000,10000,10000,0,10000,-2000,0,7000,0,13000,0,20000,3000,0,35000,0,0,0,0,0,0,297000,48000,111000,89000,74000,0,196000,20000,89000,0,0,0,5000,3000,0,0,0,10000,-3000,0,0,-4000,0,0,0,-9000,0,-3000
ONTEX,410000,296000,113000,368000,0,0,368000,41000,41000,0,41000,-22000,0,-3000,0,378000,0,227000,199000,2000,859000,0,0,0,0,0,0,2013000,297000,911000,404000,898000,0,1338000,800000,0,0,0,0,8000,21000,0,2000,-1000,54000,-11000,0,0,-19000,0,0,0,282000,0,317000
SAB,48000,25000,23000,47000,0,0,47000,1000,1000,0,1000,-1000,0,0,0,35000,0,41000,109000,6000,190000,0,0,0,0,0,0,317000,67000,83000,96000,82000,53000,207000,12000,0,0,0,0,3000,0,0,0,-7000,-1000,-4000,0,0,-4000,0,0,0,-1000,0,-6000
