tics	cnt	totvol	avgvol
OPTI	66	8909400	134990.9090909091
AGFB	66	22456900	340256.0606060606
ZEN	66	200	3.0303030303030303
VASTB	66	33400	506.06060606060606
FP	66	0	0
PCBB	66	13100	198.4848484848485
SMAR	66	3429100	51956.06060606061
FLUX	66	219500	3325.757575757576
MOP	66	0	0
WOLE	66	0	0
SGO	66	0	0
SAIG	66	0	0
AGS	66	31201200	472745.45454545453
JEN	66	159500	2416.6666666666665
KIN	66	1276500	19340.909090909092
LOUV	66	300	4.545454545454546
WESL	66	300	4.545454545454546
LEAS	66	100200	1518.1818181818182
SAB	66	1800	27.272727272727273
IEP	66	1496300	22671.21212121212
ECONB	66	4315800	65390.90909090909
MOUR	66	700	10.606060606060606
KOR	66	0	0
ACCB	66	25460100	385759.0909090909
DEXB	66	349654000	5297787.878787879
MONT	66	74000	1121.2121212121212
TEXF	66	56000	848.4848484848485
REC	66	1340000	20303.030303030304
AUDB	66	1800	27.272727272727273
MELE	66	1178300	17853.030303030304
SOF	66	507800	7693.939393939394
ABI	66	94505000	1431893.9393939395
TUB	66	464300	7034.848484848485
INGA	66	0	0
DIE	66	2463700	37328.78787878788
RHJI	66	4657600	70569.69696969698
EURN	66	3114900	47195.454545454544
AED	66	471500	7143.939393939394
ROU	66	113700	1722.7272727272727
TUBAT	66	542000	8212.121212121212
GLPG	66	3591200	54412.121212121216
EZBG	66	242700	3677.2727272727275
FLOB	66	900	13.636363636363637
MIKO	66	22800	345.45454545454544
MAC	66	0	0
UNITB	66	38200	578.7878787878788
SPA	66	6700	101.51515151515152
MOPF	66	0	0
RCUS	66	5312700	80495.45454545454
LOTB	66	6500	98.48484848484848
ZTS	66	262100	3971.212121212121
KEYW	66	379700	5753.030303030303
GBLB	66	5971100	90471.21212121213
SIOE	66	635100	9622.727272727272
DISL	66	0	0
EVS	66	1421100	21531.81818181818
BANI	66	158000	2393.939393939394
CFEB	66	1460600	22130.303030303032
VGP	66	6800	103.03030303030303
COFB	66	2043700	30965.151515151516
MDXH	66	5098200	77245.45454545454
SOLV	66	31900	483.3333333333333
ELI	66	1973300	29898.484848484848
SCHD	66	0	0
BELR	66	300	4.545454545454546
NYR	66	38275100	579925.7575757576
ABO	66	825100	12501.515151515152
MEDV	66	17700	268.1818181818182
BIL	66	657800	9966.666666666666
CARD	62	330900	5337.096774193548
SAP	66	20800	315.1515151515151
TNET	66	6389400	96809.09090909091
COLR	66	7798600	118160.60606060606
WDP	66	602900	9134.848484848484
TESB	66	3590200	54396.969696969696
MACK	66	700	10.606060606060606
MARC	66	700	10.606060606060606
KBCA	66	6283900	95210.60606060606
UCB	66	14718000	223000
HAMO	66	185400	2809.090909090909
BELU	66	7700	116.66666666666667
MOBB	66	13721000	207893.9393939394
BEAB	66	1900	28.78787878787879
LUXA	66	1400	21.21212121212121
BPOST	66	5719500	86659.09090909091
FOY	66	41000	621.2121212121212
SUCR	66	6200	93.93939393939394
QFG	66	246200	3730.3030303030305
TIG	66	85758800	1299375.7575757576
CAMB	66	15600	236.36363636363637
VAN	66	262200	3972.7272727272725
WEHB	66	86700	1313.6363636363637
ENINV	66	50700	768.1818181818181
IMMOU	66	1300	19.696969696969695
RTL	66	2262900	34286.36363636364
THI	66	10000	151.5151515151515
ZENT	66	271100	4107.575757575758
BAS	66	400	6.0606060606060606
UMI	66	30712400	465339.3939393939
BEFB	58	1142100	19691.379310344826
NEU	66	0	0
ABLX	66	10628000	161030.30303030304
BELG	66	43126000	653424.2424242424
GRYFO	66	125200	1896.969696969697
WOLS	66	0	0
ENGB	66	3600	54.54545454545455
DELB	66	31372700	475343.9393939394
CONN	66	121500	1840.909090909091
DECB	66	4425100	67046.9696969697
IBAB	66	1279900	19392.424242424244
FOU	66	28500	431.8181818181818
ENVI	66	0	0
GENK	66	300	4.545454545454546
BAR	66	2239400	33930.30303030303
ACKB	66	1652000	25030.303030303032
REA	66	255800	3875.757575757576
BEKB	66	7941700	120328.78787878787
PIC	66	391900	5937.878787878788
COMB	66	21500	325.75757575757575
DIEG	66	2000	30.303030303030305
KBC	66	70159300	1063019.696969697
VRAP	66	0	0
RES	66	124600	1887.878787878788
EXM	66	4126900	62528.78787878788
SIP	66	223100	3380.3030303030305
BNB	66	2200	33.333333333333336
CMB	66	1385600	20993.939393939392
WESB	66	0	0
ATEB	66	102200	1548.4848484848485
THR	66	17165500	260083.33333333334
PAY	66	106700	1616.6666666666667
ASC	66	20200	306.06060606060606
OIM	66	1709400	25900
SOLB	66	11265900	170695.45454545456
ANT	66	200	3.0303030303030303
CPINV	66	115000	1742.4242424242425
GLOG	66	334100	5062.121212121212
TERB	66	19200	290.90909090909093
IMMO	66	111300	1686.3636363636363
GIMB	66	799000	12106.060606060606
BREB	66	278100	4213.636363636364
