season	tic	treat	avgvol	ticnum
1	VASTB	0	610.4651162790698	4
2	VASTB	0	730.3030303030303	4
3	VASTB	0	873.4375	4
4	VASTB	0	1015.3846153846154	4
1	FLUX	0	3229.0697674418607	8
2	FLUX	0	2727.2727272727275	8
3	FLUX	0	2360.9375	8
4	FLUX	1	1996.923076923077	8
1	AGS	0	521558.1395348837	13
2	AGS	0	435577.2727272727	13
3	AGS	0	455296.875	13
4	AGS	1	439500	13
1	LOUV	0	3.488372093023256	16
2	LOUV	0	3.0303030303030303	16
3	LOUV	0	12.5	16
4	LOUV	0	3.076923076923077	16
1	LEAS	0	1889.5348837209303	19
2	LEAS	0	1421.2121212121212	19
3	LEAS	0	2167.1875	19
1	SAB	0	33.72093023255814	20
2	SAB	0	90.9090909090909	20
3	SAB	0	39.0625	20
4	SAB	1	15.384615384615385	20
1	MONT	0	1130.2325581395348	29
2	MONT	0	1857.5757575757575	29
3	MONT	0	2692.1875	29
4	MONT	1	3496.923076923077	29
1	TEXF	0	938.3720930232558	30
2	TEXF	0	687.8787878787879	30
3	TEXF	0	423.4375	30
4	TEXF	1	576.9230769230769	30
1	AUDB	0	20.930232558139537	32
2	AUDB	0	21.21212121212121	32
3	AUDB	0	14.0625	32
4	AUDB	0	32.30769230769231	32
2	MELE	0	23621.21212121212	33
3	MELE	0	27170.3125	33
4	MELE	1	31209.23076923077	33
1	SOF	0	7865.116279069767	34
2	SOF	0	11600	34
1	ABI	0	1597372.0930232557	35
2	ABI	0	846010.6060606061	35
3	ABI	0	1373971.875	35
1	TUB	0	7646.511627906977	36
2	TUB	0	9131.818181818182	36
3	TUB	0	12128.125	36
4	TUB	0	9758.461538461539	36
1	DIE	0	39926.74418604651	38
2	DIE	0	38713.63636363636	38
3	DIE	0	73118.75	38
4	DIE	1	38172.307692307695	38
1	AED	0	7591.860465116279	41
2	AED	0	6821.212121212121	41
3	AED	0	8428.125	41
4	AED	0	7138.461538461538	41
1	FLOB	0	25.58139534883721	48
2	FLOB	0	54.54545454545455	48
3	FLOB	0	110.9375	48
4	FLOB	0	63.07692307692308	48
1	MIKO	0	311.6279069767442	49
2	MIKO	0	236.36363636363637	49
3	MIKO	0	428.125	49
4	MIKO	0	372.3076923076923	49
1	SPA	0	110.46511627906976	52
2	SPA	0	148.4848484848485	52
3	SPA	0	153.125	52
4	SPA	0	49.23076923076923	52
1	RCUS	0	76226.74418604652	54
2	RCUS	0	49301.51515151515	54
3	RCUS	0	129087.5	54
4	RCUS	1	82573.84615384616	54
4	ZTS	1	2572.3076923076924	56
1	GBLB	0	96294.18604651163	58
2	GBLB	0	55678.78787878788	58
3	GBLB	0	86509.375	58
4	GBLB	0	84318.46153846153	58
1	EVS	0	21038.372093023256	61
2	EVS	0	48178.78787878788	61
3	EVS	0	33726.5625	61
4	EVS	1	40320	61
1	CFEB	0	18544.18604651163	64
2	CFEB	0	16542.424242424244	64
3	CFEB	0	19539.0625	64
4	CFEB	0	12844.615384615385	64
1	ELI	0	29424.418604651164	71
2	ELI	0	30750	71
3	ELI	0	27731.25	71
4	ELI	1	42107.692307692305	71
3	QRF	0	2237.5	74
4	QRF	1	1480	74
2	CARD	0	36760.606060606064	79
3	CARD	0	40251.5625	79
4	CARD	1	12647.692307692309	79
1	SAP	0	261.6279069767442	80
2	SAP	0	189.3939393939394	80
3	SAP	0	171.875	80
4	SAP	1	120	80
1	TNET	0	98851.16279069768	81
2	TNET	0	78871.21212121213	81
3	TNET	0	94354.6875	81
4	TNET	1	97870.76923076923	81
1	COLR	0	134723.2558139535	82
2	COLR	0	119224.24242424243	82
3	COLR	0	160679.6875	82
4	COLR	1	132238.46153846153	82
1	WDP	0	10882.558139534884	83
2	WDP	0	8939.39393939394	83
3	WDP	0	12046.875	83
4	WDP	0	11826.153846153846	83
4	TESB	1	43615.38461538462	84
2	KBCA	0	95827.27272727272	87
3	KBCA	0	66145.3125	87
4	KBCA	1	42084.61538461538	87
1	UCB	0	241093.02325581395	88
2	UCB	0	198037.87878787878	88
3	UCB	0	293942.1875	88
4	UCB	0	194363.07692307694	88
1	LUXA	0	25.58139534883721	93
1	FOY	0	811.6279069767442	95
2	FOY	0	192.42424242424244	95
3	FOY	0	421.875	95
1	VAN	0	4200	101
2	VAN	0	6796.969696969697	101
3	VAN	0	8232.8125	101
4	VAN	1	4138.461538461538	101
