season	tic	treat
0	OPTI	1	111059.30232558139
1	OPTI	1	294572.7272727273
2	OPTI	1	369315.625
3	OPTI	1	1074963.076923077
0	AGFB	1	301365.11627906974
1	AGFB	1	254336.36363636365
2	AGFB	1	357501.5625
3	AGFB	1	355695.3846153846
0	VASTB	0	610.4651162790698
1	VASTB	0	730.3030303030303
2	VASTB	0	873.4375
3	VASTB	0	1015.3846153846154
0	PCBB	1	162.7906976744186
1	PCBB	1	657.5757575757576
2	PCBB	1	551.5625
3	PCBB	1	367.6923076923077
0	SMAR	1	53380.232558139534
1	SMAR	1	26928.78787878788
2	SMAR	1	17182.8125
3	SMAR	1	9055.384615384615
0	FLUX	1	3229.0697674418607
1	FLUX	1	2727.2727272727275
2	FLUX	1	2360.9375
3	FLUX	1	1996.923076923077
0	AGS	1	521558.1395348837
1	AGS	1	435577.2727272727
2	AGS	1	455296.875
3	AGS	1	439500
0	JEN	1	2293.0232558139537
1	JEN	1	5362.121212121212
2	JEN	1	3939.0625
3	JEN	1	3324.6153846153848
0	LOUV	0	3.488372093023256
1	LOUV	0	3.0303030303030303
2	LOUV	0	12.5
3	LOUV	0	3.076923076923077
0	WESL	1	3.488372093023256
1	WESL	1	3.0303030303030303
3	WESL	1	16.923076923076923
0	LEAS	0	1889.5348837209303
1	LEAS	0	1421.2121212121212
2	LEAS	0	2167.1875
3	LEAS	0	1872.3076923076924
0	SAB	1	33.72093023255814
1	SAB	1	90.9090909090909
2	SAB	1	39.0625
3	SAB	1	15.384615384615385
0	IEP	1	18231.39534883721
1	IEP	1	36342.42424242424
2	IEP	1	7490.625
3	IEP	1	21076.923076923078
0	ECONB	1	64618.604651162794
1	ECONB	1	155457.57575757575
2	ECONB	1	173459.375
3	ECONB	1	93926.15384615384
1	MOUR	0	65.15151515151516
2	MOUR	0	126.5625
0	ACCB	1	336782.5581395349
1	ACCB	1	648233.3333333334
2	ACCB	1	534115.625
3	ACCB	1	292726.1538461539
0	DEXB	1	6240031.395348838
1	DEXB	1	3035115.1515151514
2	DEXB	1	1686856.25
3	DEXB	1	3862298.4615384615
0	MONT	1	1130.2325581395348
1	MONT	1	1857.5757575757575
2	MONT	1	2692.1875
3	MONT	1	3496.923076923077
0	TEXF	1	938.3720930232558
1	TEXF	1	687.8787878787879
2	TEXF	1	423.4375
3	TEXF	1	576.9230769230769
0	REC	1	21877.906976744187
1	REC	1	51107.57575757576
2	REC	1	58853.125
3	REC	1	34164.61538461538
0	AUDB	0	20.930232558139537
1	AUDB	0	21.21212121212121
2	AUDB	0	14.0625
3	AUDB	0	32.30769230769231
0	MELE	1	17508.13953488372
1	MELE	1	23621.21212121212
2	MELE	1	27170.3125
3	MELE	1	31209.23076923077
0	SOF	0	7865.116279069767
1	SOF	0	11600
2	SOF	0	11203.125
3	SOF	0	8312.307692307691
0	ABI	0	1597372.0930232557
1	ABI	0	846010.6060606061
2	ABI	0	1373971.875
3	ABI	0	1386678.4615384615
0	TUB	1	7646.511627906977
1	TUB	1	9131.818181818182
2	TUB	1	12128.125
3	TUB	0	9758.461538461539
0	DIE	1	39926.74418604651
1	DIE	1	38713.63636363636
2	DIE	1	73118.75
3	DIE	1	38172.307692307695
0	RHJI	1	76051.16279069768
1	RHJI	1	60030.30303030303
2	RHJI	1	113857.8125
3	RHJI	1	70675.38461538461
0	EURN	1	45904.651162790695
1	EURN	1	102312.12121212122
2	EURN	1	275771.875
3	EURN	1	69918.46153846153
0	AED	1	7591.860465116279
1	AED	0	6821.212121212121
2	AED	0	8428.125
3	AED	0	7138.461538461538
0	ROU	1	1560.4651162790697
1	ROU	1	1396.969696969697
2	ROU	1	2859.375
3	ROU	1	1463.076923076923
0	TUBAT	1	6395.3488372093025
1	TUBAT	1	274.24242424242425
2	TUBAT	1	62.5
3	TUBAT	1	38.46153846153846
0	GLPG	1	66039.53488372093
1	GLPG	1	88474.24242424243
2	GLPG	1	110195.3125
0	EZBG	1	3230.232558139535
1	EZBG	1	5142.424242424242
2	EZBG	1	5031.25
3	EZBG	1	2336.923076923077
0	FLOB	0	25.58139534883721
1	FLOB	0	54.54545454545455
2	FLOB	0	110.9375
3	FLOB	0	63.07692307692308
0	MIKO	0	311.6279069767442
1	MIKO	0	236.36363636363637
2	MIKO	0	428.125
3	MIKO	0	372.3076923076923
0	UNITB	1	489.5348837209302
1	UNITB	1	1303.030303030303
2	UNITB	1	1571.875
3	UNITB	1	1021.5384615384615
0	SPA	0	110.46511627906976
1	SPA	0	148.4848484848485
2	SPA	0	153.125
3	SPA	0	49.23076923076923
0	RCUS	1	76226.74418604652
1	RCUS	1	49301.51515151515
2	RCUS	1	129087.5
3	RCUS	1	82573.84615384616
0	ZTS	1	3431.3953488372094
1	ZTS	1	2295.4545454545455
2	ZTS	1	4540.625
3	ZTS	1	2572.3076923076924
0	KEYW	1	6102.325581395349
1	KEYW	1	11590.90909090909
2	KEYW	1	13603.125
3	KEYW	1	5906.153846153846
0	GBLB	0	96294.18604651163
1	GBLB	0	55678.78787878788
2	GBLB	0	86509.375
3	GBLB	0	84318.46153846153
0	SIOE	1	9996.511627906977
