tics	cnt	totvol	avgvol
OPTI	66	19441800	294572.7272727273
AGFB	66	16786200	254336.36363636365
ZEN	66	300	4.545454545454546
VASTB	66	48200	730.3030303030303
FP	66	0	0
PCBB	66	43400	657.5757575757576
SMAR	66	1777300	26928.78787878788
FLUX	66	180000	2727.2727272727275
MOP	66	0	0
WOLE	66	0	0
SGO	66	0	0
SAIG	66	0	0
AGS	66	28748100	435577.2727272727
JEN	66	353900	5362.121212121212
KIN	66	1145500	17356.060606060608
LOUV	66	200	3.0303030303030303
WESL	66	200	3.0303030303030303
LEAS	66	93800	1421.2121212121212
SAB	66	6000	90.9090909090909
IEP	66	2398600	36342.42424242424
ECONB	66	10260200	155457.57575757575
MOUR	66	4300	65.15151515151516
KOR	66	1400	21.21212121212121
ACCB	66	42783400	648233.3333333334
DEXB	66	200317600	3035115.1515151514
MONT	66	122600	1857.5757575757575
TEXF	66	45400	687.8787878787879
REC	66	3373100	51107.57575757576
AUDB	66	1400	21.21212121212121
MELE	66	1559000	23621.21212121212
SOF	66	765600	11600
ABI	66	55836700	846010.6060606061
TUB	66	602700	9131.818181818182
INGA	66	0	0
DIE	66	2555100	38713.63636363636
RHJI	66	3962000	60030.30303030303
EURN	66	6752600	102312.12121212122
AED	66	450200	6821.212121212121
ROU	66	92200	1396.969696969697
TUBAT	66	18100	274.24242424242425
GLPG	66	5839300	88474.24242424243
EZBG	66	339400	5142.424242424242
FLOB	66	3600	54.54545454545455
MIKO	66	15600	236.36363636363637
MAC	66	0	0
UNITB	66	86000	1303.030303030303
SPA	66	9800	148.4848484848485
MOPF	66	0	0
RCUS	66	3253900	49301.51515151515
LOTB	66	7300	110.60606060606061
ZTS	66	151500	2295.4545454545455
KEYW	66	765000	11590.90909090909
GBLB	66	3674800	55678.78787878788
SIOE	66	1065400	16142.424242424242
DISL	66	0	0
EVS	66	3179800	48178.78787878788
BANI	66	114800	1739.3939393939395
CFEB	66	1091800	16542.424242424244
VGP	66	8800	133.33333333333334
COFB	66	1811300	27443.939393939392
MDXH	66	3138700	47556.06060606061
SOLV	66	84900	1286.3636363636363
ELI	66	2029500	30750
SCHD	66	0	0
BELR	66	0	0
NYR	66	66008700	1000131.8181818182
ABO	66	1946000	29484.848484848484
MEDV	66	43400	657.5757575757576
BIL	66	1683400	25506.060606060608
CARD	66	2426200	36760.606060606064
SAP	66	12500	189.3939393939394
TNET	66	5205500	78871.21212121213
COLR	66	7868800	119224.24242424243
WDP	66	590000	8939.39393939394
TESB	66	4236400	64187.878787878784
MACK	66	0	0
MARC	66	4900	74.24242424242425
KBCA	66	6324600	95827.27272727272
UCB	66	13070500	198037.87878787878
HAMO	66	213900	3240.909090909091
BELU	66	4500	68.18181818181819
MOBB	66	7883700	119450
BEAB	66	3600	54.54545454545455
LUXA	66	2800	42.42424242424242
BPOST	66	7405700	112207.57575757576
FOY	66	12700	192.42424242424244
SUCR	66	2600	39.39393939393939
QFG	64	348100	5439.0625
TIG	66	185696900	2813589.393939394
CAMB	66	12800	193.93939393939394
VAN	66	448600	6796.969696969697
WEHB	66	114500	1734.8484848484848
ENINV	66	376200	5700
IMMOU	66	2700	40.90909090909091
RTL	66	3150100	47728.78787878788
THI	66	149400	2263.6363636363635
ZENT	66	222100	3365.151515151515
BAS	66	700	10.606060606060606
UMI	66	18114500	274462.1212121212
BEFB	66	1257500	19053.030303030304
NEU	66	1400	21.21212121212121
ABLX	66	9094900	137801.51515151514
BELG	66	46827800	709512.1212121212
GRYFO	66	116300	1762.121212121212
WOLS	66	600	9.090909090909092
ENGB	66	800	12.121212121212121
DELB	66	26838100	406637.8787878788
CONN	66	188500	2856.060606060606
DECB	66	7428600	112554.54545454546
IBAB	66	2097100	31774.242424242424
FOU	66	45800	693.939393939394
ENVI	66	2800	42.42424242424242
GENK	66	300	4.545454545454546
BAR	66	1624800	24618.18181818182
ACKB	66	1102700	16707.575757575756
REA	66	467500	7083.333333333333
BEKB	66	6511300	98656.06060606061
PIC	66	259700	3934.848484848485
COMB	66	52400	793.939393939394
DIEG	66	2300	34.84848484848485
KBC	66	59975400	908718.1818181818
VRAP	66	0	0
RES	66	130000	1969.6969696969697
EXM	66	7833500	118689.39393939394
SIP	66	182200	2760.6060606060605
BNB	66	2800	42.42424242424242
CMB	66	1599300	24231.81818181818
WESB	66	0	0
ATEB	66	116400	1763.6363636363637
THR	66	10997300	166625.75757575757
PAY	66	65000	984.8484848484849
ASC	66	33800	512.1212121212121
OIM	66	9122400	138218.18181818182
SOLB	66	9916800	150254.54545454544
ANT	66	5400	81.81818181818181
CPINV	66	140000	2121.212121212121
GLOG	66	930100	14092.424242424242
TERB	66	29100	440.90909090909093
IMMO	66	134400	2036.3636363636363
GIMB	64	924100	14439.0625
BREB	66	377800	5724.242424242424
