BEKB	1	27.54119094488188	5484815	57479	3686203	39438
BELG	1	22.63673228346456	41073050	170952	42334586	168499
BPOST	1	16.234557086614174	29993462	84368	15648625	64317
BREB	1	28.209679487179486	292633	2694	481052	2988
CARD	1	39.66642716535434	2634510	40359	837045	13273
CFEB	0	73.22657480314962	1244884	20264	851265	16989
CMB	1	21.087224409448822	1365059	9769	1243855	8226
COFB	0	87.75116141732285	2170576	45652	2480108	55729
COLR	1	40.210649606299214	10134832	92470	8884445	84685
CONN	1	1.865253937007874	199085	329	111867	272
DIE	1	33.56058070866141	4590523	47025	2512809	32142
ABI	0	77.13100393700789	96375293	675999	92161915	664166
ABLX	1	8.707634920634922	15352744	41326	6306310	27853
ACCB	1	0.01374576612903227	34489440	579	19682316	383
ACKB	0	88.3263582677165	2336819	48094	1898493	46065
AED	0.24561403508771928	50.86990157480314	537596	8884	479960	9082
AGS	1	31.352342519685035	29006269	170672	29051980	177708
AGFB	1	2.2407165354330707	23302631	16297	23490278	25679
ASC	0	52.04470231707318	78321	588	229340	821
ATEB	1	37.58187992125984	143768	1775	125191	1787
BANI	1	8.455677165354327	293117	1134	149778	651
BAR	0	56.338346456692875	1601542	27481	1511678	30705
BEFB	0	52.35404527559055	1537231	23188	1658092	25387
LEAS	0	78.29511811023623	142902	3386	125469	3386
MDXH	1	3.8680787401574825	10739899	13337	5067998	10314
MELE	1	27.967194881889768	1755687	17763	2041815	22343
MIKO	0	66.89711864406783	29598	363	26689	226
MOBB	1	13.84994094488189	8310120	36790	10150220	42264
MONT	1	30.86252155511811	181464	1420	237013	1699
NYR	1	2.103783149606298	51147783	34840	26205484	27185
OIM	1	0.5771230158730161	8263187	2815	11901583	4539
OPTI	1	0.38506102362204736	23625717	3444	69925945	17035
PIC	1	27.478484251968503	380798	3109	106487	1057
QRF	1	24.645614754098357	145878	987	100681	833
QFG	1	8.08489484126984	765928	2087	353392	1097
REA	1	21.543533464566927	574088	5114	344773	3790
REC	1	6.8626496062992155	3843084	8170	2243227	6799
BIL	1	9.522240157480317	1641937	5635	1313925	4682
RET	0	58.38832677165355	142428	2331	162401	2076
RHJI	1	3.6520688976377946	7266230	8920	4671422	8090
ROU	1	12.363070866141733	186986	1038	98329	839
RTL	0	84.4730584251969	1453987	19403	1447182	16623
SAP	1	47.20569881889763	15381	357	10772	290
SIOE	1	9.169779527559056	587130	2305	869206	3951
DECB	1	2.264590551181103	15267134	11387	5084008	6404
DELB	0.17543859649122806	49.997372047244056	34127339	299004	25162543	243311
DEXB	1	0.042476377952755925	123056227	7921	251546983	7909
EZBG	1	2.0706791338582677	328858	583	158572	398
ECONB	1	7.869161417322837	11037295	24730	6198316	24358
ELI	1	36.31807086614174	1781245	19908	2779657	34158
EURN	1	9.113451612903225	16662433	39569	4691065	18856
EVS	1	43.92884842519686	2206487	32415	2662512	38973
EXM	1	11.846328740157487	4332338	22238	3669588	20093
FAGR	1	34.88150590551181	8123306	40200	5495345	47565
FLUX	1	29.283908730158743	153611	1324	134376	1237
GBLB	0	71.92592519685043	6204428	75968	5589670	69050
GIMB	1	37.4699409448819	1276606	16797	1034516	15757
GLOG	1	1.6762195121951218	1016497	996	716197	764
GRYFO	1	11.56231299212599	221267	1042	170913	973
HAMO	1	15.078927165354331	277980	2261	175862	1317
HOMI	0	78.37033464566933	77875	1306	67076	1149
IBAB	1	9.151811023622047	1414313	4946	3791259	12337
IEP	1	6.470507874015751	538060	1369	1384319	1626
IMMOU	0.5964912280701754	49.91854330708663	7161	191	8835	223
IMMO	1	39.25402559055119	103020	1438	118145	1597
INTO	1	21.416112204724413	401072	4245	363039	4829
JEN	1	14.128440000000003	257758	1657	220845	1111
KBC	1	43.7598031496063	67544369	427788	60789557	405688
KBCA	1	27.000403543307083	4252644	30624	2780233	24450
KEYW	1	0.7251653543307088	900054	590	385691	393
KIN	1	26.617581196581202	968170	6109	722805	6255
SIP	0	60.26683070866143	202421	3618	173042	3057
SMAR	1	0.49785483870967734	1206409	541	616904	313
SOF	0	86.65377952755907	731041	16356	549629	11560
TNET	1	43.71840551181101	6098499	68830	6500875	61522
TERB	0	58.27637795275589	28213	615	29731	611
TESB	1	19.346620964566924	4350845	25311	3069963	22416
TEXF	1	36.03946850393701	34890	502	40569	662
THR	1	19.298826771653545	10580231	68004	13747801	72254
TIG	1	0.7499232283464566	225544712	35738	50090633	15581
TUB	0.15789473684210525	50.27487204724409	791420	9699	642479	6559
UCB	0	56.81413385826773	18594832	169392	13003706	119536
UMI	1	34.63659448818896	36842053	245795	30454098	181439
VAN	1	37.85378937007872	528034	5095	278657	3428
VASTB	0	54.47848425196849	58861	855	69826	827
VGP	1	18.102066929133855	14429	161	18360	185
VIO	1	4.264448818897639	3319487	9538	1808205	5838
WEB	0	54.768840000000004	48739	507	30558	379
WDP	0	54.15183070866142	764801	11283	782046	13005
WEHB	0	90.06313008130081	82644	3157	76856	2999
ZENT	1	0.8365487068965519	595491	370	650790	339
ZTS	1	20.177381889763787	287757	2015	178389	1511
