"Half","Symbol","Total Revenue","Cost of Revenue","Gross Profit","Operating Expenses","Research Development","Selling General and Administrative","Total Operating Expenses","Operating Income or Loss","Total Other Income/Expenses Net","Earnings Before Interest And Taxes","Interest Expense","Income Before Tax","Net Income From Continuing Ops","Cash And Cash Equivalents","Short Term Investments","Net Receivables","Inventory","Other Current Assets","Total Current Assets","Long Term Investments","Property Plant and Equipment","Goodwill","Intangible Assets","Accumulated Amortization","Other Assets","Total Assets","Accounts Payable","Short/Current Long Term Debt","Total Current Liabilities","Long Term Debt","Deferred Long Term Liability Charges","Total Liabilities","Common Stock","Retained Earnings","Total Stockholder Equity","Net Tangible Assets","Depreciation","Changes In Accounts Receivables","Changes In Liabilities","Changes In Inventories","Changes In Other Operating Activities","Total Cash Flow From Operating Activities","Capital Expenditures","Investments","Other Cash flows from Investing Activities","Total Cash Flows From Investing Activities","Dividends Paid","Sale Purchase of Stock","Net Borrowings","Total Cash Flows From Financing Activities","Effect Of Exchange Rate Changes","Change In Cash and Cash Equivalents","name","isin","treat","cnt","avg","shares","trades","turnover"
"1","BEKB","769000","652000","117000","728000","0","0","728000","41000","0","41000","-17000","0","1000","392000","10000","781000","539000","36000","1772000","179000","0","0","0","0","0","3380000","339000","1012000","972000","688000","0","1877000","208000","1308000","0","0","31000","0","0","0","81000","122000","-31000","0","0","-26000","0","0","0","-56000","-3000","37000","BEKAERT","BE0974258874","0","130","26.97","111228.76","1060.82","2987151.34"
"1","BPOST","636000","487000","149000","544000","0","0","544000","93000","0","93000","-2000","0","53000","448000","0","387000","9000","14000","858000","341000","0","0","0","0","0","1929000","189000","87000","810000","73000","13000","1352000","364000","153000","0","0","6000","-69000","0","-1000","11000","47000","-29000","0","0","-34000","0","0","0","-195000","0","-183000","BPOST","BE0974268972","0","130","14.42","349619.82","915.79","5063407.46"
"1","CARD","0","2000","-2000","3000","0","0","3000","-3000","0","-3000","0","0","-3000","19000","3000","0","0","0","23000","0","0","0","0","0","0","32000","2000","0","3000","0","1000","15000","55000","-36000","0","0","0","0","0","0","0","-3000","0","0","0","-2000","0","0","0","12000","0","8000","CARDIO3 BIO","BE0974260896","0","127","18.48","22506.92","225.37","502258.87"
"1","CFEB","592000","369000","223000","568000","0","0","568000","24000","0","24000","-10000","0","-44000","475000","1000","1117000","216000","101000","1909000","42000","0","0","0","0","0","4161000","1046000","1287000","1951000","859000","0","2958000","841000","358000","0","0","32000","17000","0","-1000","0","65000","-13000","0","0","73000","0","0","0","-13000","1000","126000","CFE","BE0003883031","0","130","52.43","19680.18","270.9","1047412.68"
"1","CMB","189000","185000","3000","210000","0","0","210000","-21000","0","-21000","-44000","0","13000","81000","4000","122000","11000","47000","266000","31000","0","0","0","0","0","2095000","16000","808000","209000","712000","0","1013000","35000","1022000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","CMB","BE0003817344","0","130","18.48","23011.07","138.34","434812.64"
"1","COFB","74000","26000","47000","27000","0","0","27000","46000","0","46000","-17000","0","0","16000","0","41000","0","46000","105000","12000","0","0","0","0","0","3670000","26000","1744000","576000","1267000","0","1989000","1242000","646000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","COFINIMMO","BE0003593044","0","130","87.02","29705.73","682.98","2588387.6"
"1","COLR","2200000","1686000","514000","2082000","0","0","2082000","118000","0","118000","0","0","87000","603000","17000","522000","575000","5000","1742000","160000","0","0","0","0","0","3722000","1047000","32000","1593000","11000","0","1755000","261000","1996000","0","0","49000","14000","0","-5000","2000","186000","-107000","0","0","-102000","0","0","0","-90000","0","-6000","COLRUYT","BE0974256852","0","130","41.16","120570.2","1231.66","4937143.13"
"1","GIMB","-42000","-29000","-12000","-61000","0","0","-61000","19000","0","19000","0","0","3000","41000","15000","23000","0","6000","86000","795000","0","0","0","0","0","1027000","1000","0","14000","0","0","24000","270000","722000","0","0","-2000","4000","0","1000","0","7000","6000","0","0","-32000","0","0","0","2000","0","-24000","GIMV","BE0003699130","0","130","37.25","13300.81","179.39","494582.39"
"1","GLOG","2000","0","2000","3000","0","0","3000","0","0","0","0","0","0","1000","0","2000","0","0","3000","0","0","0","0","0","0","15000","0","0","2000","0","0","2000","4000","18000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","GLOBAL GRAPHICS","FR0004152221","0","123","1.26","10323.98","10.37","13709.79"
"1","HAMO","0","0","0","0","0","0","0","0","0","0","0","0","0","120000","0","235000","13000","10000","379000","3000","0","0","0","0","0","516000","105000","178000","340000","89000","10000","448000","16000","50000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","HAMON","BE0003700144","0","129","14.76","3140.97","25.64","47261.61"
