half,symbol,totalrevenue,costofrevenue,grossprofit,operatingexpenses,researchdevelopment,sellinggeneralandadministrative,totaloperatingexpenses,operatingincomeorloss,totalotherincomeexpensesnet,earningsbeforeinterestandtaxes,interestexpense,incomebeforetax,netincomefromcontinuingops,cashandcashequivalents,shortterminvestments,netreceivables,inventory,othercurrentassets,totalcurrentassets,longterminvestments,propertyplantandequipment,goodwill,intangibleassets,accumulatedamortization,otherassets,totalassets,accountspayable,shortcurrentlongtermdebt,totalcurrentliabilities,longtermdebt,deferredlongtermliabilitycharges,totalliabilities,commonstock,retainedearnings,totalstockholderequity,nettangibleassets,depreciation,changesinaccountsreceivables,changesinliabilities,changesininventories,changesinotheroperatingactivitie,totalcashflowfromoperatingactivi,capitalexpenditures,investments,othercashflowsfrominvestingactiv,totalcashflowsfrominvestingactiv,dividendspaid,salepurchaseofstock,netborrowings,totalcashflowsfromfinancingactiv,effectofexchangeratechanges,changeincashandcashequivalents,name,isin,treat,cnt,avg,shares,trades,turnover,n_sym,bookvalue,log_at,totalrevenue2at_0,costofrevenue2at_1,grossprofit2at_2,operatingexpenses2at_3,researchdevelopment2at_4,sellinggeneralandadm2at_5,totaloperatingexpens2at_6,operatingincomeorlos2at_7,operatingincomeorlos2at_8,totalotherincomeexpe2at_9,earningsbeforeintere2at_10,interestexpense2at_11,incomebeforetax2at_12,netincomefromcontinu2at_13,cashandcashequivalen2at_15,shortterminvestments2at_16,netreceivables2at_17,inventory2at_18,othercurrentassets2at_19,totalcurrentassets2at_20,longterminvestments2at_21,propertyplantandequi2at_22,goodwill2at_23,intangibleassets2at_24,accumulatedamortizat2at_25,otherassets2at_26,totalassets2at_27,accountspayable2at_28,shortcurrentlongterm2at_29,totalcurrentliabilit2at_30,longtermdebt2at_31,deferredlongtermliab2at_32,totalliabilities2at_33,commonstock2at_34,retainedearnings2at_35,totalstockholderequi2at_36,nettangibleassets2at_37,depreciation2at_39,changesinaccountsrec2at_40,changesinliabilities2at_41,changesininventories2at_42,changesinotheroperat2at_43,totalcashflowfromope2at_44,capitalexpenditures2at_45,investments2at_46,othercashflowsfromin2at_47,totalcashflowsfromin2at_48,dividendspaid2at_49,salepurchaseofstock2at_50,netborrowings2at_51,totalcashflowsfromfi2at_52,effectofexchangerate2at_53,changeincashandcashe2at_54
1,ABI,11711000,4482000,7229000,7526000,0,0,7526000,4185000,0,4185000,-1035000,0,3353000,9839000,0,4471000,2950000,691000,18690000,380000,0,0,0,0,0,141666000,9834000,49126000,25627000,41142000,0,86358000,19343000,31004000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AB INBEV,BE0003793107,0,130,73.029999,1351547.3,9284.3799,98465728,ABI,141666000,18.768982,.08266627,.031637795,.051028475,.053124957,0,0,.053124957,.029541316,.029541316,0,.029541316,-.0073059169,0,.023668347,.069452092,0,.031560149,.020823628,.0048776702,.13193004,.0026823655,0,0,0,0,0,1,.069416799,.34677339,.18089733,.2904155,0,.60958874,.13653946,.21885279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ABI,12201000,4867000,7334000,8384000,0,0,8384000,3817000,0,3817000,-745000,0,3211000,8495000,0,6856000,3593000,114000,19408000,320000,0,0,0,0,0,149895000,10272000,55511000,26120000,47083000,0,92645000,19356000,32199000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AB INBEV,BE0003793107,0,126,77.099998,1489702,10592.72,114594000,ABI,149895008,18.825445,.081396975,.032469396,.048927583,.055932485,0,0,.055932485,.025464492,.025464492,0,.025464492,-.0049701459,0,.021421662,.056673005,0,.045738682,.023970112,.00076053239,.12947731,.0021348277,0,0,0,0,0,1,.068527967,.37033257,.17425531,.31410655,0,.61806595,.12913039,.21481037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ABLX,11000,12000,-1000,15000,0,0,15000,-4000,0,-4000,-1000,0,-4000,12000,182000,3000,0,1000,197000,0,0,0,0,0,0,212000,9000,1000,171000,0,0,171000,236000,-201000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABLYNX,BE0003877942,1,125,8.7200003,172886.56,552.44,1501266.5,ABLX,212000,12.264341,.051886793,.056603774,-.0047169812,.070754714,0,0,.070754714,-.018867925,-.018867925,0,-.018867925,-.0047169812,0,-.018867925,.056603774,.85849059,.014150944,0,.0047169812,.92924529,0,0,0,0,0,0,1,.042452831,.0047169812,.80660379,0,0,.80660379,1.1132076,-.9481132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ACKB,166000,56000,110000,126000,0,0,126000,40000,0,40000,-19000,0,111000,767000,665000,2323000,137000,59000,3951000,1223000,0,0,0,0,0,10888000,1053000,2034000,5338000,1258000,1000,7610000,114000,0,0,0,3000,1000,0,2000,94000,139000,-11000,0,0,-190000,0,0,0,80000,0,253000,ACKERMANS V.HAAREN,BE0003764785,0,130,74.419998,26469.48,527.78003,1985172.3,ACKB,10888000,16.203173,.015246143,.0051432769,.010102865,.011572373,0,0,.011572373,.0036737693,.0036737693,0,.0036737693,-.0017450404,0,.01019471,.070444524,.061076414,.21335416,.01258266,.0054188096,.36287656,.1123255,0,0,0,0,0,1,.096711978,.18681116,.49026451,.11554004,.000091844231,.69893461,.010470242,0,0,0,.00027553269,.000091844231,0,.00018368846,.0086333575,.012766348,-.0010102865,0,0,-.017450403,0,0,0,.0073475386,0,.023236591
2,ACKB,1071000,602000,469000,989000,0,0,989000,83000,0,83000,-26000,0,73000,618000,689000,2615000,146000,8000,4076000,1222000,0,0,0,0,0,11111000,1096000,1985000,5363000,1227000,0,7773000,114000,0,0,0,58000,-62000,0,-18000,-19000,27000,-35000,0,0,-28000,0,0,0,-76000,2000,-75000,ACKERMANS V.HAAREN,BE0003764785,0,126,88.309998,33381.191,743.14001,2937074,ACKB,11111000,16.223446,.096390963,.05418054,.042210422,.089010887,0,0,.089010887,.0074700746,.0074700746,0,.0074700746,-.0023400234,0,.0065700659,.055620555,.06201062,.23535235,.013140132,.00072000723,.36684367,.1099811,0,0,0,0,0,1,.098640986,.17865178,.48267484,.1104311,0,.69957697,.010260102,0,0,0,.0052200523,-.005580056,0,-.0016200162,-.0017100171,.0024300243,-.0031500314,0,0,-.0025200252,0,0,0,-.0068400684,.00018000181,-.0067500677
1,AED,10000,2000,8000,3000,0,0,3000,7000,0,7000,-3000,0,6000,2000,0,4000,0,0,6000,1000,0,0,0,0,0,739000,8000,349000,57000,306000,0,362000,313000,19000,0,0,0,0,0,0,0,7000,0,0,0,-24000,0,0,0,17000,0,1000,AEDIFICA,BE0003851681,0,130,50.119999,7141.02,104.32,359965.38,AED,739000,13.513053,.013531799,.0027063598,.010825439,.0040595401,0,0,.0040595401,.0094722603,.0094722603,0,.0094722603,-.0040595401,0,.0081190802,.0027063598,0,.0054127197,0,0,.0081190802,.0013531799,0,0,0,0,0,1,.010825439,.47225982,.077131256,.41407308,0,.48985115,.42354533,.025710419,0,0,0,0,0,0,0,.0094722603,0,0,0,-.032476321,0,0,0,.023004059,0,.0013531799
2,AED,11000,1000,9000,3000,0,0,3000,8000,0,8000,0,0,5000,1000,0,3000,0,1000,5000,0,0,0,0,0,0,795000,7000,384000,85000,313000,0,398000,329000,29000,0,0,0,0,0,0,0,10000,0,0,0,-20000,0,0,0,9000,0,0,AEDIFICA,BE0003851681,.17,126,50.880001,8040.9399,141.74001,408453.97,AED,795000,13.586098,.013836478,.0012578616,.011320755,.003773585,0,0,.003773585,.010062893,.010062893,0,.010062893,0,0,.006289308,.0012578616,0,.003773585,0,.0012578616,.006289308,0,0,0,0,0,0,1,.0088050319,.48301888,.10691824,.3937107,0,.50062895,.41383648,.036477987,0,0,0,0,0,0,0,.012578616,0,0,0,-.025157232,0,0,0,.011320755,0,0
1,AGFB,739000,511000,228000,612000,0,0,612000,127000,0,127000,-5000,0,44000,126000,0,788000,542000,46000,1502000,11000,0,0,0,0,0,2568000,239000,343000,803000,319000,3000,2200000,397000,664000,0,0,0,-15000,0,50000,-57000,50000,-12000,0,0,-10000,0,0,0,-15000,-3000,22000,AGFA-GEVAERT,BE0003755692,0,130,1.62,301920.25,160.45,491682.88,AGFB,2568000,14.758638,.2877726,.19898754,.088785045,.23831776,0,0,.23831776,.049454827,.049454827,0,.049454827,-.0019470406,0,.017133957,.049065422,0,.30685359,.21105918,.017912773,.58489096,.0042834892,0,0,0,0,0,1,.093068533,.13356698,.3126947,.12422118,.0011682243,.8566978,.15459502,.25856698,0,0,0,-.0058411215,0,.019470405,-.022196261,.019470405,-.004672897,0,0,-.0038940811,0,0,0,-.0058411215,-.0011682243,.0085669784
2,AGFB,651000,444000,207000,607000,0,0,607000,44000,0,44000,-5000,0,28000,158000,0,778000,561000,32000,1529000,11000,0,0,0,0,0,2573000,241000,334000,796000,312000,0,2162000,397000,689000,0,0,17000,27000,0,-12000,-47000,32000,-6000,0,0,-8000,0,0,0,-10000,0,14000,AGFA-GEVAERT,BE0003755692,1,126,2.24,368421.84,331.76999,825922.94,AGFB,2573000,14.760583,.25301206,.17256121,.080450833,.23591138,0,0,.23591138,.01710066,.01710066,0,.01710066,-.0019432569,0,.010882239,.061406918,0,.30237079,.21803342,.012436844,.59424794,.004275165,0,0,0,0,0,1,.093664981,.12980956,.30936649,.12125923,0,.84026426,.1542946,.26778081,0,0,.0066070734,.010493588,0,-.0046638167,-.018266615,.012436844,-.0023319083,0,0,-.0031092111,0,0,0,-.0038865139,0,.0054411194
1,AGS,3527000,3001000,526000,3408000,0,0,3408000,120000,0,120000,-27000,0,102000,2213000,0,1366000,0,2350000,6240000,63684000,0,0,0,0,0,95736000,6301000,4444000,11657000,3061000,123000,86314000,4582000,570000,0,0,-302000,0,0,0,587000,859000,-31000,0,0,-483000,0,0,0,-336000,-1000,39000,AGEAS,BE0974264930,0,130,29.459999,475598.03,2710.9099,14021401,AGS,95736000,18.377106,.036840897,.031346619,.0054942761,.035597894,0,0,.035597894,.001253447,.001253447,0,.001253447,-.00028202558,0,.0010654299,.023115652,0,.014268405,0,.02454667,.065179244,.66520429,0,0,0,0,0,1,.06581641,.046419319,.12176193,.031973343,.0012847831,.90158349,.047860783,.005953873,0,0,-.0031545083,0,0,0,.0061314446,.0089725917,-.00032380712,0,0,-.0050451239,0,0,0,-.0035096516,-.000010445391,.00040737027
