"ltinv","half","avg","symbol","treat","at"
"179000","1","26.97","BEKB","0","3380000"
"341000","1","14.42","BPOST","0","1929000"
"0","1","18.48","CARD","0","32000"
"42000","1","52.43","CFEB","0","4161000"
"31000","1","18.48","CMB","0","2095000"
"12000","1","87.02","COFB","0","3670000"
"160000","1","41.16","COLR","0","3722000"
"795000","1","37.25","GIMB","0","1027000"
"0","1","1.26","GLOG","0","15000"
"3000","1","14.76","HAMO","0","516000"
"0","1","75.4","HOMI","0","325000"
"36000","1","6.42","IBAB","0","282000"
"3000","1","57.32","IMMOU","0","25000"
"1000","1","35.7","IMMO","0","527000"
"61928000","1","36","KBC","0","241306000"
"2442000","1","20.72","KBCA","0","2442000"
"0","1","0.72","KEYW","0","24000"
"0","1","2.73","MDXH","0","29000"
"0","1","60.66","MIKO","0","118000"
"3000","1","12.81","MOBB","0","1450000"
"46000","1","2.35","NYR","0","3220000"
"1000","1","0.24","OPTI","0","12000"
"46000","1","46.36","DELB","0","11596000"
"29689000","1","0.04","DEXB","0","222936000"
"23000","1","4.77","EURN","0","1921000"
"7000","1","9.44","EXM","0","1189000"
"0","1","28.91","FLUX","0","2858000"
"12435000","1","62.72","GBLB","0","18958000"
"380000","1","73.03","ABI","0","141666000"
"1223000","1","74.42","ACKB","0","10888000"
"1000","1","50.12","AED","0","739000"
"63684000","1","29.46","AGS","0","95736000"
"11000","1","1.62","AGFB","0","2568000"
"0","1","50.8","ASC","0","485000"
"11000","1","32.79","ATEB","0","377000"
"40000","1","8.94","BANI","0","357000"
"189000","1","24.08","PIC","0","421000"
"0","1","16.66","REA","0","222000"
"73000","1","5.16","REC","0","612000"
"0","1","75.26","RES","0","183000"
"0","1","55.73","RET","0","756000"
"113000","1","3.81","RHJI","0","2958000"
"4000","1","11.25","ROU","0","852000"
"401000","1","74.07","RTL","0","7567000"
"1000","1","47.13","SAP","0","364000"
"0","1","7.62","SIOE","0","347000"
"15000","1","52.2","SIP","0","710000"
"5000","1","54.85","TERB","0","241000"
"0","1","32.75","TEXF","0","108000"
"0","1","0.35","TIG","0","63000"
"1804000","1","40.07","TUB","0","1805000"
"79000","1","45.81","UCB","0","9907000"
"223000","1","33.72","UMI","0","3512000"
"14000","1","35.47","VAN","0","197000"
"1000","1","18.78","VGP","0","366000"
"0","1","0.66","ZENT","0","38000"
"3000","1","16.77","ZTS","0","163000"
"320000","2","77.1","ABI","0","149895000"
"0","2","8.72","ABLX","1","212000"
"1222000","2","88.31","ACKB","0","11111000"
"0","2","50.88","AED","0.17","795000"
"66569000","2","31.33","AGS","1","99232000"
"11000","2","2.24","AGFB","1","2573000"
"0","2","52.04","ASC","0.04","487000"
"39000","2","37.59","ATEB","1","383000"
"91000","2","8.44","BANI","1","359000"
"12000","2","56.18","BAR","0.02","1007000"
"19000","2","52.21","BEFB","0.06","2319000"
"0","2","2.27","DECB","1","455000"
"55000","2","50","DELB","0.4","10967000"
"29643000","2","0.04","DEXB","1","237993000"
"18000","2","7.81","ECONB","1","1515000"
"837000","2","36.35","ELI","1","5471000"
"9000","2","43.82","EVS","1","137000"
"0","2","29.29","FLUX","1","2846000"
"12818000","2","71.99","GBLB","0","19580000"
"192000","2","27.5","PIC","1","436000"
"80000","2","6.87","REC","1","635000"
"0","2","9.52","BIL","1","99000"
"4581000","2","3.65","RHJI","1","9478000"
"131000","2","12.37","ROU","1","789000"
"356000","2","84.39","RTL","0","7340000"
"1000","2","47.09","SAP","0.99","368000"
"0","2","9.18","SIOE","1","357000"
"0","2","1.68","GLOG","1","16000"
"3000","2","15.07","HAMO","1","577000"
"0","2","78.36","HOMI","0","342000"
"73000","2","39.28","IMMO","1","431000"
"0","2","14.13","JEN","1","154000"
"64487000","2","43.75","KBC","1","252768000"
"2442000","2","26.99","KBCA","1","2442000"
"0","2","0.72","KEYW","1","26000"
"0","2","26.65","KIN","1","297000"
"170000","2","27.54","BEKB","1","3724000"
"1198000","2","28.21","BREB","1","1252000"
"0","2","39.77","CARD","0.98","52000"
"222000","2","72.89","CFEB","0.02","4032000"
"6000","2","87.4","COFB","0","3469000"
"84000","2","33.39","DIE","1","3724000"
"0","2","3.87","MDXH","1","21000"
"0","2","28.01","MELE","1","250000"
"0","2","66.92","MIKO","0","0"
"3000","2","13.84","MOBB","1","1430000"
"0","2","30.86","MONT","1","380000"
"62000","2","2.1","NYR","1","3270000"
"1000","2","0.39","OPTI","1","15000"
"81000","2","60.17","SIP","0.01","766000"
"1000","2","43.67","TNET","1","3405000"
"4000","2","58.28","TERB","0","231000"
"23000","2","19.32","TESB","1","1051000"
"0","2","36.06","TEXF","1","107000"
"0","2","19.19","THR","1","246000"
"0","2","0.75","TIG","1","60000"
"1766000","2","50.31","TUB","0.37","1796000"
"126000","2","56.82","UCB","0.01","9724000"
"221000","2","34.62","UMI","1","3659000"
"0","2","37.81","VAN","1","176000"
"0","2","18.08","VGP","1","424000"
"87000","2","4.27","VIO","1","3426000"
"25000","2","54.06","WDP","0.01","1410000"
"20000","2","90.02","WEHB","0","647000"
"0","2","0.84","ZENT","1","44000"
"2000","2","20.21","ZTS","1","173000"
