quarter	name	isin	symbol	treat	cnt	avg	shares	trades	turnover	COMP	Total Revenue	Cost of Revenue	Gross Profit	Operating Expenses	Research Development	Selling General and Administrative	Total Operating Expenses	Operating Income or Loss	Operating Income or Loss	Total Other Income/Expenses Net	Earnings Before Interest And Taxes	Interest Expense	Income Before Tax	Net Income From Continuing Ops	Net Income	Cash And Cash Equivalents	Short Term Investments	Net Receivables	Inventory	Other Current Assets	Total Current Assets	Long Term Investments	Property Plant and Equipment	Goodwill	Intangible Assets	Accumulated Amortization	Other Assets	Total Assets	Accounts Payable	Short/Current Long Term Debt	Total Current Liabilities	Long Term Debt	Deferred Long Term Liability Charges	Total Liabilities	Common Stock	Retained Earnings	Total Stockholder Equity	Net Tangible Assets	Net Income	Depreciation	Changes In Accounts Receivables	Changes In Liabilities	Changes In Inventories	Changes In Other Operating Activities	Total Cash Flow From Operating Activities	Capital Expenditures	Investments	Other Cash flows from Investing Activities	Total Cash Flows From Investing Activities	Dividends Paid	Sale Purchase of Stock	Net Borrowings	Total Cash Flows From Financing Activities	Effect Of Exchange Rate Changes	Change In Cash and Cash Equivalents
3	4ENERGY INVEST	BE0974275076	ENINV	1	62	3.6493364686531633	3982.967741935484	13.758064516129032	15437.624838709677	ENINV	4000	3000	2000	5000	0	0	5000	-1000	-1000	0	-1000	-1000	0	20000	0	1000	0	2000	1000	0	5000	0	0	0	0	0	0	16000	2000	0	4000	0	0	5000	32000	-21000	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	AB INBEV	BE0003793107	ABI	0	63	80.14565963262378	1462887.5396825396	10542.317460317461	117176101.85714287	ABI	12201000	4867000	7334000	8384000	0	0	8384000	3817000	3817000	0	3817000	-745000	0	3211000	0	8495000	0	6856000	3593000	114000	19408000	320000	0	0	0	0	0	149895000	10272000	55511000	26120000	47083000	0	92645000	19356000	32199000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	ABLYNX	BE0003877942	ABLX	1	62	8.989638779235678	101714.67741935483	449.241935483871	916041.7638709679	ABLX	11000	12000	-1000	15000	0	0	15000	-4000	-4000	0	-4000	-1000	0	-4000	0	12000	182000	3000	0	1000	197000	0	0	0	0	0	0	212000	9000	1000	171000	0	0	171000	236000	-201000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	ACKERMANS V.HAAREN	BE0003764785	ACKB	0	63	92.4199483065166	30134.809523809523	731.1904761904761	2783278.3407936506	ACKB	1071000	602000	469000	989000	0	0	989000	83000	83000	0	83000	-26000	0	73000	0	618000	689000	2615000	146000	8000	4076000	1222000	0	0	0	0	0	11111000	1096000	1985000	5363000	1227000	0	7773000	114000	0	0	0	0	58000	-62000	0	-18000	-19000	27000	-35000	0	0	-28000	0	0	0	-76000	2000	-75000
3	AEDIFICA	BE0003851681	AED	0.2857142857142857	63	50.446007661811315	7618.412698412699	144.15873015873015	383747.176031746	AED	11000	1000	9000	3000	0	0	3000	8000	8000	0	8000	0	0	5000	0	1000	0	3000	0	1000	5000	0	0	0	0	0	0	795000	7000	384000	85000	313000	0	398000	329000	29000	0	0	0	0	0	0	0	0	10000	0	0	0	-20000	0	0	0	9000	0	0
3	AGEAS	BE0974264930	AGS	1	63	30.65280002430192	461142.5396825397	2820.7619047619046	14094657.864603171	AGS	3599000	2880000	718000	3469000	0	0	3469000	130000	130000	0	130000	-42000	0	51000	0	2446000	0	50000	0	4917000	7675000	66569000	0	0	0	0	0	99232000	5649000	4429000	12112000	3234000	0	89378000	4504000	31000	0	0	0	238000	0	0	0	336000	640000	-20000	0	0	-482000	0	0	0	-658000	6000	-494000
3	AGFA-GEVAERT	BE0003755692	AGFB	1	63	2.3934584839909254	372861.55555555556	407.6031746031746	888722.0909523811	AGFB	651000	444000	207000	607000	0	0	607000	44000	44000	0	44000	-5000	0	28000	0	158000	0	778000	561000	32000	1529000	11000	0	0	0	0	0	2573000	241000	334000	796000	312000	0	2162000	397000	689000	0	0	0	17000	27000	0	-12000	-47000	32000	-6000	0	0	-8000	0	0	0	-10000	0	14000
3	ASCENCIO	BE0003856730	ASC	0	63	51.919814881233094	3640.3174603174602	13.031746031746032	188987.636031746	ASC	8000	0	8000	1000	0	0	1000	7000	7000	0	7000	-2000	0	5000	0	0	0	0	0	4000	4000	0	0	0	0	0	0	487000	0	216000	43000	173000	0	216000	270000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	ATENOR GROUP	BE0003837540	ATEB	1	63	39.16278129460973	1987.1587301587301	28.365079365079364	78256.8257142857	ATEB	33000	21000	12000	26000	0	0	26000	7000	7000	0	7000	-1000	0	2000	0	12000	12000	30000	256000	1000	311000	39000	0	0	0	0	0	383000	27000	228000	90000	176000	0	280000	51000	71000	0	0	0	0	-14000	0	5000	1000	-3000	-1000	0	0	-6000	0	0	0	1000	0	-7000
3	BANIMMO A	BE0003870871	BANI	1	63	8.187741378935762	2377.4285714285716	10.333333333333334	19419.84126984126	BANI	2000	1000	1000	3000	0	0	3000	-1000	-1000	0	-1000	-5000	0	-4000	0	5000	0	14000	155000	0	173000	91000	0	0	0	0	0	359000	14000	229000	27000	216000	0	251000	132000	0	0	0	0	0	0	0	0	0	-2000	0	0	0	-9000	0	0	0	10000	0	0
