quarter	name	isin	symbol	treat	cnt	avg	shares	trades	turnover	comp	totalrevenue	costofrevenue	grossprofit	operatingexpenses	researchdevelopment	sellinggeneralandadministrative	totaloperatingexpenses	operatingincomeorloss	v20	totalotherincomeexpensesnet	earningsbeforeinterestandtaxes	interestexpense	incomebeforetax	netincomefromcontinuingops	netincome	cashandcashequivalents	shortterminvestments	netreceivables	inventory	othercurrentassets	totalcurrentassets	longterminvestments	propertyplantandequipment	goodwill	intangibleassets	accumulatedamortization	otherassets	totalassets	accountspayable	shortcurrentlongtermdebt	totalcurrentliabilities	longtermdebt	deferredlongtermliabilitycharges	totalliabilities	commonstock	retainedearnings	totalstockholderequity	nettangibleassets	v50	depreciation	changesinaccountsreceivables	changesinliabilities	changesininventories	changesinotheroperatingactivitie	totalcashflowfromoperatingactivi	capitalexpenditures	investments	othercashflowsfrominvestingactiv	totalcashflowsfrominvestingactiv	dividendspaid	salepurchaseofstock	netborrowings	totalcashflowsfromfinancingactiv	effectofexchangeratechanges	changeincashandcashequivalents
3	ACKERMANS V.HAAREN	BE0003764785	ACKB	0	63	92.419945	30134.809	731.19049	2783278.3	ACKB	1071000	602000	469000	989000	0	0	989000	83000	83000	0	83000	-26000	0	73000	0	618000	689000	2615000	146000	8000	4076000	1222000	0	0	0	0	0	11111000	1096000	1985000	5363000	1227000	0	7773000	114000	0	0	0	0	58000	-62000	0	-18000	-19000	27000	-35000	0	0	-28000	0	0	0	-76000	2000	-75000
3	AGFA-GEVAERT	BE0003755692	AGFB	1	63	2.3934584	372861.56	407.60318	888722.06	AGFB	651000	444000	207000	607000	0	0	607000	44000	44000	0	44000	-5000	0	28000	0	158000	0	778000	561000	32000	1529000	11000	0	0	0	0	0	2573000	241000	334000	796000	312000	0	2162000	397000	689000	0	0	0	17000	27000	0	-12000	-47000	32000	-6000	0	0	-8000	0	0	0	-10000	0	14000
3	ATENOR GROUP	BE0003837540	ATEB	1	63	39.162781	1987.1587	28.36508	78256.828	ATEB	33000	21000	12000	26000	0	0	26000	7000	7000	0	7000	-1000	0	2000	0	12000	12000	30000	256000	1000	311000	39000	0	0	0	0	0	383000	27000	228000	90000	176000	0	280000	51000	71000	0	0	0	0	-14000	0	5000	1000	-3000	-1000	0	0	-6000	0	0	0	1000	0	-7000
3	BANIMMO A	BE0003870871	BANI	1	63	8.1877413	2377.4285	10.333333	19419.842	BANI	2000	1000	1000	3000	0	0	3000	-1000	-1000	0	-1000	-5000	0	-4000	0	5000	0	14000	155000	0	173000	91000	0	0	0	0	0	359000	14000	229000	27000	216000	0	251000	132000	0	0	0	0	0	0	0	0	0	-2000	0	0	0	-9000	0	0	0	10000	0	0
3	BARCO	BE0003790079	BAR	0	63	56.688473	23994.889	487.38095	1354354	BAR	249000	167000	82000	242000	0	0	242000	7000	7000	0	7000	-1000	0	6000	0	92000	0	201000	237000	0	537000	12000	0	0	0	0	0	1007000	120000	56000	383000	42000	94000	436000	565000	0	0	0	0	6000	10000	0	-12000	-12000	14000	-5000	0	0	-28000	0	0	0	-18000	0	-32000
3	BEFIMMO	BE0003678894	BEFB	0	63	53.699772	26318.92	402.96826	1416656.8	BEFB	37000	6000	31000	8000	0	0	8000	29000	29000	0	29000	-6000	0	19000	0	1000	0	30000	0	4000	36000	19000	0	0	0	0	0	2319000	57000	1048000	434000	698000	0	1133000	972000	39000	0	0	0	0	0	0	0	-18000	5000	0	0	0	-17000	0	0	0	11000	0	0
3	MOBISTAR	BE0003735496	MOBB	1	63	14.24196	161114.61	670.85712	2280109	MOBB	315000	177000	137000	294000	0	0	294000	21000	21000	0	21000	-2000	0	12000	0	10000	0	203000	17000	3000	259000	3000	0	0	0	0	0	1430000	313000	555000	448000	549000	0	1069000	132000	230000	0	0	0	47000	6000	0	2000	0	65000	-47000	0	0	-58000	0	0	0	-8000	0	-2000
3	NYRSTAR	BE0003876936	NYR	1	63	1.9977672	415960.06	431.50793	816545.13	NYR	677000	358000	319000	684000	0	0	684000	-8000	-8000	0	-8000	-30000	0	-33000	0	310000	0	210000	516000	5000	1056000	62000	0	0	0	0	0	3270000	525000	963000	1286000	619000	0	2436000	1650000	-570000	0	0	0	62000	-14000	0	2000	12000	83000	-45000	0	0	-42000	0	0	0	-34000	1000	9000
3	PICANOL	BE0003807246	PIC	1	63	27.983278	1690.2699	16.777779	47263.41	PIC	110000	85000	24000	93000	0	0	93000	17000	17000	0	17000	0	0	15000	0	53000	0	78000	52000	0	184000	192000	0	0	0	0	0	436000	47000	8000	101000	0	0	121000	23000	289000	0	0	0	2000	0	0	0	-4000	12000	-3000	0	0	-3000	0	0	0	-3000	0	6000
3	RECTICEL	BE0003656676	REC	1	63	7.115756	35606.777	107.92063	256267.53	REC	247000	203000	44000	242000	0	0	242000	5000	5000	0	5000	-3000	0	-2000	0	27000	0	128000	100000	0	256000	80000	0	0	0	0	0	635000	84000	189000	262000	111000	0	461000	182000	23000	0	0	0	7000	-6000	0	-3000	-10000	1000	-8000	0	0	-7000	0	0	0	6000	0	0
