season	tic	treat	avg	COMP	Total_Revenue	Cost_of_Revenue	Gross_Profit	Operating_Expenses	Research_Development	Selling_General_and_Administrative	Total_Operating_Expenses	Operating_Income_or_Loss	Operating_Income_or_Loss	Total_Other_Income/Expenses_Net	Earnings_Before_Interest_And_Taxes	Interest_Expense	Income_Before_Tax	Net_Income_From_Continuing_Ops	Net_Income	Cash_And_Cash_Equivalents	Short_Term_Investments	Net_Receivables	Inventory	Other_Current_Assets	Total_Current_Assets	Long_Term_Investments	Property_Plant_and_Equipment	Goodwill	Intangible_Assets	Accumulated_Amortization	Other_Assets	Total_Assets	Accounts_Payable	Short/Current_Long_Term_Debt	Total_Current_Liabilities	Long_Term_Debt	Deferred_Long_Term_Liability_Charges	Total_Liabilities	Common_Stock	Retained_Earnings	Total_Stockholder_Equity	Net_Tangible_Assets	Net_Income	Depreciation	Changes_In_Accounts_Receivables	Changes_In_Liabilities	Changes_In_Inventories	Changes_In_Other_Operating_Activities	Total_Cash_Flow_From_Operating_Activities	Capital_Expenditures	Investments	Other_Cash_flows_from_Investing_Activities	Total_Cash_Flows_From_Investing_Activities	Dividends_Paid	Sale_Purchase_of_Stock	Net_Borrowings	Total_Cash_Flows_From_Financing_Activities	Effect_Of_Exchange_Rate_Changes	Change_In_Cash_and_Cash_Equivalents
0	RET	0	58.38832677165355	RET	13000	2000	11000	3000	0	0	3000	10000	10000	0	10000	-4000	0	7000	0	43000	0	4000	0	7000	54000	0	0	0	0	0	0	758000	13000	353000	68000	307000	0	415000	254000	43000	0	0	0	0	-1000	0	0	-2000	2000	0	0	0	-7000	0	0	0	25000	0	21000
1	RET	0	58.38832677165355	RET	14000	2000	11000	3000	0	0	3000	11000	11000	0	11000	-4000	0	7000	0	2000	0	2000	0	5000	10000	0	0	0	0	0	0	756000	0	374000	34000	352000	0	399000	254000	58000	0	0	0	0	2000	0	0	-3000	0	0	0	0	-22000	0	0	0	1000	0	-20000
2	RET	0	58.38832677165355	RET	14000	2000	11000	3000	0	0	3000	11000	11000	0	11000	-4000	0	7000	0	2000	0	2000	0	5000	10000	0	0	0	0	0	0	756000	0	374000	34000	352000	0	399000	254000	58000	0	0	0	0	2000	0	0	-3000	0	0	0	0	-22000	0	0	0	1000	0	-20000
1	SAP	0	47.20569881889763	SAP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21000	0	92000	89000	10000	212000	1000	0	0	0	0	0	364000	10000	175000	147000	82000	0	265000	44000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	SAP	0	47.20569881889763	SAP	121000	116000	5000	116000	0	0	116000	5000	5000	0	5000	-4000	0	0	0	16000	0	103000	80000	10000	209000	1000	0	0	0	0	0	368000	67000	179000	154000	104000	0	272000	44000	0	0	0	0	2000	-7000	0	5000	0	0	-4000	0	0	-4000	0	0	0	2000	0	-2000
1	AED	0	50.86990157480314	AED	10000	2000	8000	3000	0	0	3000	7000	7000	0	7000	-3000	0	6000	0	2000	0	4000	0	0	6000	1000	0	0	0	0	0	739000	8000	349000	57000	306000	0	362000	313000	19000	0	0	0	0	0	0	0	0	7000	0	0	0	-24000	0	0	0	17000	0	1000
3	AED	0	50.86990157480314	AED	11000	1000	9000	3000	0	0	3000	8000	8000	0	8000	0	0	5000	0	1000	0	3000	0	1000	5000	0	0	0	0	0	0	795000	7000	384000	85000	313000	0	398000	329000	29000	0	0	0	0	0	0	0	0	10000	0	0	0	-20000	0	0	0	9000	0	0
0	AGS	0	31.352342519685035	AGS	3541000	2853000	688000	3327000	0	0	3327000	214000	214000	0	214000	-61000	0	88000	0	2174000	0	40000	0	4771000	7324000	63329000	0	0	0	0	0	95570000	5883000	4421000	12543000	3125000	0	85960000	4581000	513000	0	0	0	160000	0	0	0	-80000	163000	-28000	0	0	338000	0	0	0	-652000	4000	-148000
1	AGS	0	31.352342519685035	AGS	3527000	3001000	526000	3408000	0	0	3408000	120000	120000	0	120000	-27000	0	102000	0	2213000	0	1366000	0	2350000	6240000	63684000	0	0	0	0	0	95736000	6301000	4444000	11657000	3061000	123000	86314000	4582000	570000	0	0	0	-302000	0	0	0	587000	859000	-31000	0	0	-483000	0	0	0	-336000	-1000	39000
2	AGS	0	31.352342519685035	AGS	3412000	2830000	582000	3130000	0	0	3130000	282000	282000	0	282000	-14000	0	73000	0	2940000	0	55000	0	4314000	7632000	64639000	0	0	0	0	0	97149000	5429000	4409000	12037000	3126000	0	87328000	4583000	30000	0	0	0	190000	0	0	0	801000	1068000	-33000	0	0	-201000	0	0	0	-86000	2000	783000
