season	tic	treat	vol	trades	VPT	tic_symbol
0	0	0	5484815	57479	95.42293707267002	BEKB
1	0	1	3686203	39438	93.46830468076475	BEKB
0	1	0	41073050	170952	240.2607164584211	BELG
1	1	1	42334586	168499	251.2453248980706	BELG
0	2	0	29993462	84368	355.50756210885646	BPOST
1	2	1	15648625	64317	243.30464729387253	BPOST
0	3	0	292633	2694	108.62397921306608	BREB
1	3	1	481052	2988	160.9946452476573	BREB
0	4	0	2634510	40359	65.27688991303054	CARD
1	4	1	837045	13273	63.06373841633391	CARD
0	5	0	1244884	20264	61.43328069482827	CFEB
1	5	0	851265	16989	50.10683383365707	CFEB
0	6	0	1365059	9769	139.73374961613266	CMB
1	6	1	1243855	8226	151.2101872112813	CMB
0	7	0	2170576	45652	47.54613160431087	COFB
1	7	0	2480108	55729	44.503005616465394	COFB
0	8	0	10134832	92470	109.60129771817887	COLR
1	8	1	8884445	84685	104.9116726693039	COLR
0	9	0	199085	329	605.1215805471124	CONN
1	9	1	111867	272	411.2757352941176	CONN
0	10	0	4590523	47025	97.61877724614567	DIE
1	10	1	2512809	32142	78.1783647563935	DIE
0	11	0	96375293	675999	142.5672123775331	ABI
1	11	0	92161915	664166	138.76337391555725	ABI
0	12	0	15352744	41326	371.5032667086096	ABLX
1	12	1	6306310	27853	226.4140308045812	ABLX
0	13	0	34489440	579	59567.25388601036	ACCB
1	13	1	19682316	383	51389.8590078329	ACCB
0	14	0	2336819	48094	48.58857653761384	ACKB
1	14	0	1898493	46065	41.213350700097685	ACKB
0	15	0	537596	8884	60.5128320576317	AED
1	15	0.24561403508771928	479960	9082	52.84739044263378	AED
0	16	0	29006269	170672	169.9532963813631	AGS
1	16	1	29051980	177708	163.4815540099489	AGS
0	17	0	23302631	16297	1429.8724305086826	AGFB
1	17	1	23490278	25679	914.7660734452276	AGFB
0	18	0	78321	588	133.19897959183675	ASC
1	18	0	229340	821	279.34226552984165	ASC
0	19	0	143768	1775	80.99605633802817	ATEB
1	19	1	125191	1787	70.0565193060996	ATEB
0	20	0	293117	1134	258.48059964726633	BANI
1	20	1	149778	651	230.073732718894	BANI
0	21	0	1601542	27481	58.278155816746114	BAR
1	21	0	1511678	30705	49.23230744178473	BAR
0	22	0	1537231	23188	66.29424702432293	BEFB
1	22	0	1658092	25387	65.31264032772678	BEFB
0	23	0	142902	3386	42.20378027170703	LEAS
1	23	0	125469	3386	37.05522740696988	LEAS
0	24	0	10739899	13337	805.2709754817425	MDXH
1	24	1	5067998	10314	491.3707581927477	MDXH
0	25	0	1755687	17763	98.83955412937004	MELE
1	25	1	2041815	22343	91.38499753837891	MELE
0	26	0	29598	363	81.53719008264463	MIKO
1	26	0	26689	226	118.09292035398231	MIKO
0	27	0	8310120	36790	225.87985865724383	MOBB
1	27	1	10150220	42264	240.16231307968957	MOBB
0	28	0	181464	1420	127.79154929577464	MONT
1	28	1	237013	1699	139.50147145379634	MONT
0	29	0	51147783	34840	1468.0764351320322	NYR
1	29	1	26205484	27185	963.9685120470848	NYR
0	30	0	8263187	2815	2935.4127886323267	OIM
1	30	1	11901583	4539	2622.0716016743777	OIM
0	31	0	23625717	3444	6859.964285714285	OPTI
1	31	1	69925945	17035	4104.839741708248	OPTI
0	32	0	380798	3109	122.48247024766806	PIC
1	32	1	106487	1057	100.7445600756859	PIC
0	33	0	145878	987	147.79939209726444	QRF
1	33	1	100681	833	120.8655462184874	QRF
0	34	0	765928	2087	366.99952084331574	QFG
1	34	1	353392	1097	322.14402917046493	QFG
0	35	0	574088	5114	112.25811497849043	REA
1	35	1	344773	3790	90.96912928759895	REA
0	36	0	3843084	8170	470.38971848225214	REC
1	36	1	2243227	6799	329.93484335931754	REC
0	37	0	1641937	5635	291.3818988464951	BIL
1	37	1	1313925	4682	280.6332763776164	BIL
0	38	0	142428	2331	61.1016731016731	RET
1	38	0	162401	2076	78.22784200385357	RET
0	39	0	7266230	8920	814.5997757847533	RHJI
1	39	1	4671422	8090	577.4316440049444	RHJI
0	40	0	186986	1038	180.14065510597302	ROU
1	40	1	98329	839	117.19785458879619	ROU
0	41	0	1453987	19403	74.93619543369581	RTL
1	41	0	1447182	16623	87.05901461829994	RTL
0	42	0	15381	357	43.08403361344538	SAP
1	42	1	10772	290	37.144827586206894	SAP
0	43	0	587130	2305	254.72017353579176	SIOE
1	43	1	869206	3951	219.99645659326754	SIOE
0	44	0	15267134	11387	1340.7512075173443	DECB
1	44	1	5084008	6404	793.8800749531542	DECB
0	45	0	34127339	299004	114.1367306122995	DELB
1	45	0.17543859649122806	25162543	243311	103.41720267476605	DELB
0	46	0	123056227	7921	15535.440853427597	DEXB
1	46	1	251546983	7909	31805.156530534834	DEXB
0	47	0	328858	583	564.0789022298457	EZBG
1	47	1	158572	398	398.4221105527638	EZBG
0	48	0	11037295	24730	446.3119692680954	ECONB
1	48	1	6198316	24358	254.46736185236884	ECONB
0	49	0	1781245	19908	89.47382961623468	ELI
1	49	1	2779657	34158	81.37645646700626	ELI
0	50	0	16662433	39569	421.09815764866437	EURN
1	50	1	4691065	18856	248.78367628341113	EURN
0	51	0	2206487	32415	68.06993675767391	EVS
1	51	1	2662512	38973	68.31683473173736	EVS
0	52	0	4332338	22238	194.81689000809425	EXM
1	52	1	3669588	20093	182.63016971084457	EXM
0	53	0	8123306	40200	202.07228855721394	FAGR
1	53	1	5495345	47565	115.5333753810575	FAGR
0	54	0	153611	1324	116.0203927492447	FLUX
1	54	1	134376	1237	108.63055780113177	FLUX
0	55	0	6204428	75968	81.67159856781802	GBLB
1	55	0	5589670	69050	80.95104996379435	GBLB
0	56	0	1276606	16797	76.0020241709829	GIMB
1	56	1	1034516	15757	65.65437583296313	GIMB
0	57	0	1016497	996	1020.5793172690763	GLOG
1	57	1	716197	764	937.4306282722513	GLOG
0	58	0	221267	1042	212.34836852207295	GRYFO
1	58	1	170913	973	175.655704008222	GRYFO
0	59	0	277980	2261	122.94559929234852	HAMO
1	59	1	175862	1317	133.5322703113136	HAMO
0	60	0	77875	1306	59.62863705972435	HOMI
1	60	0	67076	1149	58.37771975630984	HOMI
0	61	0	1414313	4946	285.95086938940557	IBAB
1	61	1	3791259	12337	307.3080165356245	IBAB
0	62	0	538060	1369	393.03140978816657	IEP
1	62	1	1384319	1626	851.3646986469864	IEP
0	63	0	7161	191	37.49214659685864	IMMOU
1	63	0.5964912280701754	8835	223	39.61883408071749	IMMOU
0	64	0	103020	1438	71.64116828929068	IMMO
1	64	1	118145	1597	73.97933625547903	IMMO
0	65	0	401072	4245	94.48103651354535	INTO
1	65	1	363039	4829	75.17891903085525	INTO
0	66	0	257758	1657	155.55703077851538	JEN
